position_var_reg,position_dof_mean,position_dof_min,position_scale_mean,position_empirical_scale_mean,position_implied_std_mean,position_dof_reg,position_loss,velocity_var_reg,velocity_dof_mean,velocity_dof_min,velocity_scale_mean,velocity_empirical_scale_mean,velocity_implied_std_mean,velocity_dof_reg,velocity_loss,steering_var_reg,steering_dof_mean,steering_dof_min,steering_scale_mean,steering_empirical_scale_mean,steering_implied_std_mean,steering_dof_reg,steering_loss,acceleration_var_reg,acceleration_dof_mean,acceleration_dof_min,acceleration_scale_mean,acceleration_empirical_scale_mean,acceleration_implied_std_mean,acceleration_dof_reg,acceleration_loss,traffic_light_color_var_reg,traffic_light_color_dof_mean,traffic_light_color_dof_min,traffic_light_color_scale_mean,traffic_light_color_empirical_scale_mean,traffic_light_color_implied_std_mean,traffic_light_color_loss,traffic_light_confidence_var_reg,traffic_light_confidence_dof_mean,traffic_light_confidence_dof_min,traffic_light_confidence_scale_mean,traffic_light_confidence_empirical_scale_mean,traffic_light_confidence_implied_std_mean,traffic_light_confidence_loss,total_nll,position_l2_raw,velocity_l1_raw,traffic_light_discrepancy_loss,traffic_light_discrepancy_bce_raw,total_loss
0.0003979533355366859,4.478096190219124,3.2757841565956674,0.05210093315205692,0.02972556139381292,0.08989079127786681,1.0323192936581715,-1.7772966404057418,0.0004974523559389992,3.9910799196610847,2.9392970030506453,0.09380966801351558,0.0722102055248494,0.16442386410199106,1.8647804163435164,-2.0155162720475346,0.0002634590662932701,4.812688926855723,3.557646229863167,0.06831558102567215,0.040885405867205314,0.10948218965495471,0.5569184921769192,-0.5422205651411787,0.005110651828953748,4.1239912286400795,3.1018848276386657,0.15632770484080538,0.18100161605980247,0.24355874930430824,1.2912635795461636,-0.2983672284365942,0.013096255996589192,2.8278009879092374,2.4976703183104596,0.15409034529390433,0.224539436516352,0.2885618005335952,-0.004374464519059984,0.023135591640472814,2.825748059898615,2.5322907101362944,0.13631825700091818,0.2554079419545208,0.25391546442794305,-0.03972370167412009,-6.19835838706543,0.03244474145806938,0.05271286664356012,0.04301441432350354,0.21507206758057387,-4.392970151578386
0.00012354069881818455,5.423207165052493,3.637384240825971,0.012887516810830371,0.018157988088205457,0.01657538903479387,0.029854326334316283,-1.9040500493720174,0.00033349266167685226,5.258116426567237,3.4386697616428137,0.03697332081113321,0.04563698376296088,0.047704361291835085,0.05897440738044679,-2.6751878013213477,0.00016892205424786275,5.686461624999841,3.8973616659641266,0.01997692060346405,0.027342858535121195,0.025328184691412996,0.012810737037701378,-0.6465526881317297,0.0059853773985499474,4.845794194688399,3.314766108368834,0.09221229779844482,0.15449213828348243,0.12257170036900789,0.20397846940128753,-0.8418995989486575,0.023392274231203675,2.326348338276148,2.1804440394043922,0.064688809584671,0.2080904079678779,0.17854581645224243,-0.23625844555014433,0.03413444437319413,2.247467355802655,2.1528162018706403,0.06274532784785454,0.23999148712027818,0.18876541161444038,-0.2171025201193212,-10.491744088629881,0.018353000244436164,0.03242955879250076,0.027018534625919226,0.1350926705248033,-6.472337828328212
7.489385388718499e-05,5.64853743587931,3.717089120298624,0.011011728825299846,0.0147976063429572,0.014021002854860853,0.015440775975245439,-1.7046650496001046,0.0003222003125908183,5.504549438754718,3.5626961377759776,0.03280512391453764,0.041507464105961844,0.041755587027485795,0.0295813746197382,-2.5104462699964643,0.00015030312022190628,5.963424264142911,4.003610948100686,0.017126810521100804,0.023951713883434422,0.021499128100307036,0.0063833363334803534,-0.580017564818263,0.006216345045383302,4.949108234296243,3.3354094649354615,0.08368605388871704,0.14706386152344444,0.11067822424229234,0.17322589043760672,-0.8486983005423099,0.026588765838823747,2.1817210434625545,2.1181770085046687,0.0517502837756183,0.2059824240859598,0.1820452413133656,-0.2049651161651127,0.03535428067698376,2.159122571349144,2.1121399644762278,0.054990888689644635,0.23506693607972315,0.19965406386957815,-0.2041138039979463,-9.745549137393633,0.015521384145055587,0.029083207312699717,0.02321699891035678,0.11608499248783725,-6.011586846162875
5.299426385837099e-05,5.688197508454323,3.834783786907792,0.009777220713052278,0.012819036751655707,0.012399496971435534,0.010451849881064845,-1.5823771751796205,0.00029286243147907953,5.651437999059756,3.65777741993467,0.02999537223756003,0.038353204261511564,0.03790923515528751,0.018920876032401186,-2.402818669875463,0.00013658297493179816,6.08826815461119,4.055145367359121,0.015664125450712163,0.022132441930201214,0.01957616902169927,0.0046102183594787976,-0.5448845476688197,0.006252485849169413,5.030480383584897,3.3474264796823263,0.0791122683052284,0.14179542348332083,0.1042012096537898,0.1581860719791924,-0.845878925252085,0.027113427825194474,2.147600487495462,2.107385744030277,0.04895353319200998,0.2032640176670005,0.18550810881424695,-0.1820006943307817,0.03414751919626724,2.141718177124858,2.1058968994766474,0.05546354346248942,0.22936381694550315,0.2087681411843126,-0.17796410501856977,-9.167251394440731,0.013740490423515439,0.02656726783607155,0.02044370641669957,0.10221853049006313,-5.699072373410066
4.3077197408554944e-05,5.689065882315238,3.9218789724012217,0.009037899562827079,0.011753918988688383,0.011445174231387986,0.008395321357966168,-1.5034358749787013,0.00027774325489341817,5.733708590269089,3.73385245911777,0.028467803344634984,0.036628039733235106,0.03582584242879724,0.013870340242040887,-2.333779875189066,0.00012321734038304535,6.111609842628241,4.0761545188724995,0.014695243337579692,0.0208774168616704,0.01833535937475972,0.0038428582856037488,-0.5237092609362056,0.00635330535593918,5.139773691693942,3.3513905132810273,0.0773967833374627,0.1389453380058209,0.10140237031737342,0.1498316194435271,-0.8390238856275877,0.026484655420063064,2.1375820711255074,2.1045969408005476,0.05024624496581964,0.2000414499004061,0.19191544852219522,-0.16073647034742558,0.03169965962782347,2.141629284247756,2.1049293664594493,0.06040808524509581,0.22119761627012244,0.21887113359601548,-0.13485947726924982,-8.624106707672277,0.01276923578067605,0.025292190145895194,0.01831245233915979,0.09156226003930594,-5.461937218904495
3.787007763852065e-05,5.664244581013918,3.9845392598460116,0.008506395076741077,0.011073707462249635,0.010768534009306071,0.007414669094335598,-1.4473399749646585,0.00026132882593780476,5.806753944605589,3.778546188647548,0.02695656214200426,0.034961778229141295,0.03380123466195073,0.010601693059773728,-2.2680368159587183,0.0001174966826056334,6.136571792264779,4.08358735529085,0.013526677648769692,0.01961357890589473,0.01687260552716907,0.0036216353639701993,-0.49339408427476883,0.00630941316709747,5.251947324723005,3.3700234380861125,0.07418778608553112,0.13503943705776086,0.096555562185434,0.14034709749588123,-0.8385490402579308,0.02583042686213351,2.1345465388149023,2.103691547488173,0.05074263259302825,0.19605117376583317,0.1900265150470659,-0.13938517609009674,0.029596504163540278,2.1471296592305102,2.1053960851083198,0.06284783060740058,0.2130551083634297,0.21486461841656515,-0.1050619701281903,-8.168507938583693,0.01205700709397206,0.02395091649668757,0.016536079418680554,0.0826803956394239,-5.260916418085496
3.588301081928572e-05,5.631657984107733,4.0038164382179575,0.008183763957883153,0.010692917460498089,0.010364946087065618,0.0070826937256545834,-1.4092745405311387,0.00024607553530131554,5.853525083512068,3.811561948309342,0.026257010623036574,0.03395777458596664,0.0328331665659789,0.008848290365979969,-2.2470488427206874,0.0001110431467594708,6.14426554987828,4.085754451652368,0.012659159629644515,0.018666117612156086,0.01579324752674438,0.0035867133616799642,-0.47065427782945335,0.006295120288996259,5.3404683110614615,3.36733705115815,0.07239184928281854,0.13288773776730523,0.09374317730544135,0.1358621108229272,-0.8394562482523421,0.02567663188286436,2.1330123158792653,2.1032645547141633,0.04945745173608884,0.19347252995551875,0.18260037592456987,-0.12798668801769963,0.028413427833584137,2.1536209266632795,2.1048146641502776,0.06124484248963805,0.20744356621677676,0.2017235124561315,-0.10370300847762337,-7.996755063533783,0.011626272680587135,0.023237087424301233,0.015350353845860809,0.0767517678711253,-5.168926420311133
3.372731071730565e-05,5.609459303319454,4.040822423994541,0.007828871940243213,0.010301445865479764,0.009915526995124916,0.006516484891714451,-1.3660312533999484,0.0002392405546061127,5.913465487460296,3.8567688670009375,0.025294053795126576,0.0329990504833404,0.031533625170898937,0.007136229137055731,-2.19880743107448,0.00010364006763552425,6.125511060158412,4.0783846856405335,0.012122505953205595,0.017942485874906804,0.015129443199839443,0.0036052052735916127,-0.45726781664416194,0.0061537361076868064,5.37965098892649,3.385363164668282,0.07125752615199114,0.13068177733415118,0.09203974984120578,0.1282164040603675,-0.8422095282003284,0.02556761469168123,2.1324212147543826,2.1024983127911887,0.04777659986090536,0.19117921497672796,0.17321712085201094,-0.11945255623625901,0.027832888794364408,2.161477587496241,2.1033009781191745,0.06112608806385348,0.20529233400399485,0.19520881162801137,-0.10146188182352489,-7.818067354460557,0.01115359387282903,0.022433238981951337,0.015073135188382972,0.07536567464315642,-5.056890541066726
3.2390113185935356e-05,5.588790215551853,4.053764492273331,0.007554079096735222,0.009980507578196315,0.00956854660398676,0.006215815464505188,-1.3305273729686935,0.0002270058529158329,5.982358365009229,3.894911070043842,0.024726413107903984,0.032252957525391444,0.030709775106515735,0.0055210441144784754,-2.1775720342993736,9.986020907604143e-05,6.131802065918843,4.12663171812892,0.011373026192207666,0.017138757667756483,0.01419533771938101,0.0031500655111358355,-0.435452167953675,0.006151115183759733,5.439113985747099,3.3892386282483735,0.06915397944006448,0.12884672954290485,0.08893298282055184,0.12572856179516143,-0.8409460503607988,0.025572071184190765,2.131273257856568,2.1014306135475636,0.046746026986511424,0.18987285466088602,0.1672623822426734,-0.11531186950499735,0.027464534912724048,2.1708099028716483,2.102003621558348,0.060569595312699676,0.2031013248876358,0.1878518019026766,-0.09914151812093526,-7.677555716286103,0.010786671720173521,0.021920375491996918,0.014340781490318477,0.07170390613221873,-4.971624794105689
3.1248225757470514e-05,5.612331472337246,4.0706368169436855,0.007104185890057124,0.009543493327025013,0.008987603174318792,0.005285621427901788,-1.267965377618869,0.00021517138209977324,6.094532599051793,3.9421862456947565,0.023188514474895783,0.030600354744819924,0.02866762596628784,0.004300407600870433,-2.1003764985750117,9.421273412613118e-05,6.1528927100201445,4.142779464522998,0.010544033655605745,0.016175669508811552,0.013155822183762211,0.002878317667864394,-0.41183693264611065,0.005986235776314667,5.491556828220685,3.390996120249232,0.06682866176318687,0.12509606452658772,0.08568378116857882,0.11867928603896871,-0.8435499118641019,0.02524971302288274,2.131022044147054,2.100745679810643,0.045030874491203576,0.1872475070801253,0.15922266295334944,-0.11367501372357462,0.02645363541766225,2.1799311811725297,2.101258622482419,0.05952496458970321,0.19889406021684408,0.18053387854403505,-0.10215162420414951,-7.483342799047629,0.010133586836066874,0.020504748468132068,0.013482118179429866,0.06741058969540366,-4.813713038961093
2.9986436975567205e-05,5.595850229263306,4.086979867890477,0.006922734737599967,0.009334975934810549,0.008759292364023471,0.005276764615700813,-1.2438340348502,0.0002054408436341267,6.139595550795396,3.9755827095359564,0.022665968994260766,0.02991134225158021,0.027953755076547775,0.0037710350234192447,-2.0797594922284284,9.236091780451261e-05,6.124398576716582,4.140178455660741,0.010227762890281156,0.01582286481667931,0.012767186398074651,0.002643680355807495,-0.40231376599210006,0.0058191273804671555,5.563857505718867,3.372753749291102,0.0655949283100199,0.1231440511958984,0.08378745867715527,0.1150886938169909,-0.8494524322450161,0.025238542822383653,2.131670811523994,2.100437762836615,0.04440744906120623,0.1863698979917293,0.1549557099933736,-0.10969437308085617,0.02599867744963073,2.187699574356278,2.100832221408685,0.05931663427812358,0.19701831376490495,0.17682402883656323,-0.1020238345290636,-7.405656746278207,0.009923227943848664,0.020031729339583155,0.013081924290114936,0.06540962022457582,-4.761918565879266
3.008917805876384e-05,5.586486843725045,4.106139466166496,0.006863213560185007,0.009292508015884474,0.008684081640240038,0.005059845073750087,-1.2353895474225283,0.00020403489592505744,6.193454656749964,3.987822422757745,0.02251523208299962,0.02977330776047893,0.027691951399901882,0.003324152547520498,-2.067887424180905,9.088985449542027e-05,6.106457071999709,4.188545453672607,0.009750499564688653,0.015379631445587924,0.012180933706986252,0.0024403120076688842,-0.3869579821669807,0.00568326136090036,5.611486212660869,3.365214710434278,0.06495627030381002,0.12158246072552477,0.08275746959649648,0.11221774417208508,-0.8533356436528265,0.025040540315482456,2.134117211525639,2.1002561636269093,0.04417596350928458,0.18529492628294975,0.15178935355894888,-0.10804674798843432,0.025527710167807527,2.198194658383727,2.1005968494961658,0.05955831274817077,0.19532295099149147,0.1742748316610232,-0.10123237854046845,-7.347231650104125,0.00984438015439082,0.01995535920044252,0.012802761060205134,0.06401380432362203,-4.72823719556133
2.953367287261699e-05,5.588217039903005,4.130762665222089,0.006702985097945202,0.009134386177417278,0.008478272945164159,0.004652152813529635,-1.212256067742904,0.00019938126619460186,6.259896505624056,4.025984302784006,0.022154800419230014,0.029336176322734293,0.027164109487785026,0.0028996941693245994,-2.054303533397615,9.023337164156449e-05,6.053229877104362,4.201074853539467,0.009677466555634359,0.01525693455914734,0.012102972121889858,0.002397684503648634,-0.3842306877486408,0.005718789539362963,5.6285084672272205,3.3925284538418055,0.0644867783121299,0.12161179018827777,0.082041566434782,0.10593184628911938,-0.8499060870769123,0.024905641946437147,2.140776058038076,2.1001419021437564,0.04435779033034729,0.18444566568359733,0.14758548487831527,-0.10381190900504104,0.02524869689659681,2.2133595465372005,2.100419232621789,0.060233558110970385,0.19419177780703953,0.17185858462471515,-0.09772956730444093,-7.256116350491841,0.009633561016623085,0.01958971089819291,0.012710826532080924,0.06355413167329971,-4.678113725657265
2.890654744665729e-05,5.5748678632080555,4.150795827309291,0.006642603838069287,0.009048456226688964,0.008403335973222662,0.004578474972125453,-1.2051040853063266,0.00019687178795872265,6.322786144912243,4.050430161878467,0.021994797702063806,0.029094097907848965,0.026888978842180222,0.0026583539464202963,-2.047407607237498,8.830295953998757e-05,5.997256378332774,4.208223387598991,0.009345756443508435,0.014922645318923363,0.011701254343885617,0.002286917741760893,-0.37411762742946547,0.005650368610076839,5.666142286111911,3.338165005048116,0.06354335957439616,0.12004222181470443,0.08070391323417425,0.11290660263815273,-0.8537948550656438,0.024946188837930094,2.14833654401203,2.1000761538743973,0.04390465570516729,0.18413308452970037,0.14267732637623945,-0.10279402918740743,0.025011464742419776,2.2274297258506217,2.1002994682639837,0.05955542788918441,0.19290026385957995,0.16820114253399274,-0.10030438918958377,-7.235680591315031,0.009553712162111575,0.0193917586778601,0.012484605068796858,0.06242302426350458,-4.659324244906505
2.8797594907814528e-05,5.577709581702948,4.173980287586649,0.006537133691987644,0.0089478412240472,0.0082641373652829,0.004071267764326573,-1.1897432177017133,0.000198008404349063,6.414048511534929,4.046544574821989,0.021700518186359357,0.028859021370105136,0.026430636299968075,0.002501608675629541,-2.030309601997336,9.010148375902342e-05,5.961587350815535,4.224559556071957,0.009188195121775303,0.014870085932974083,0.011510661592183169,0.002254933517633617,-0.3678743685595691,0.005628304736698435,5.708680583784978,3.3315442061672607,0.06394993644789793,0.1202104320206369,0.08103905447448294,0.10819339642572838,-0.853907183278352,0.02472952320143425,2.1584760267287493,2.100041724741459,0.044488905671945154,0.18359188192213574,0.14165068578828746,-0.09963279230942135,0.0247421053936705,2.2473507026831308,2.100209874411424,0.06085703076678328,0.1927617450322335,0.16963151450424144,-0.09762658334208633,-7.1574901441733045,0.00941851092647994,0.019136475695025485,0.01216638793509143,0.060831938671375006,-4.615534604837497
2.7748152154079737e-05,5.57323591162761,4.1943785281231,0.006410978715090702,0.008793086166406283,0.008100486375042237,0.0038157223434609477,-1.1740718763321638,0.00019174850933723064,6.523911841213703,4.03729953430593,0.021403536821405094,0.028433966828742996,0.02595271523265789,0.0023154614011673402,-2.020717008660237,8.789763119428547e-05,5.931354884058237,4.2514173121502,0.008964343373615217,0.014602886030237036,0.011223998296676049,0.0019984488186916374,-0.3611698978735755,0.005478640995534079,5.753617885212104,3.328618555019299,0.06291248493168193,0.11816459059870492,0.0795572313751715,0.10580773486678179,-0.8579483483918011,0.024482204474528164,2.169203065956632,2.100021667778492,0.04396293706183011,0.1823156904623223,0.138797020947095,-0.10065128911082866,0.024320699691694852,2.263174989571174,2.1001465947677693,0.060440049370906,0.19078624655958265,0.16758652607677504,-0.09718766294266364,-7.127399325370789,0.009244154822226847,0.01883217199065257,0.012046147710255658,0.06023073748413784,-4.588544155160586
