window,pos_l2,pos_nll,vel_nll,steer_nll,combined_nll,obj_dist_actual,obj_dist_pred,obj_dist_residual,obj_dist_slope,obj_dist_past_min,cusum_combined,has_adjacent_lane
54,0.0021175676956772804,-6.628079414367676,-5.914899826049805,-2.948864459991455,-12.834430694580078,0.053944092243909836,0.5805400013923645,0.5265958905220032,-0.00010525476682232693,0.05379205197095871,4.213374743094807,1.0
55,0.0018139700405299664,-6.639127254486084,-5.8676557540893555,-2.945016384124756,-12.805760383605957,0.05388426408171654,0.5786875486373901,0.5248032808303833,-0.00011063367128372192,0.05379205197095871,4.562465352889815,1.0
56,0.0018716647755354643,-6.647470951080322,-5.913106441497803,-2.9460012912750244,-12.850956916809082,0.05414074659347534,0.5778921246528625,0.5237513780593872,-6.161464989418164e-05,0.05379205197095871,4.956752495887947,1.0
57,0.001649338286370039,-6.65708589553833,-5.867177963256836,-2.9575438499450684,-12.82960033416748,0.05452073737978935,0.5762397646903992,0.5217190384864807,-4.557271950034192e-06,0.05379205197095871,5.329683056244479,1.0
58,0.0016442774794995785,-6.66480827331543,-5.673374652862549,-2.9721803665161133,-12.689598083496094,0.05476992204785347,0.5753927826881409,0.5206228494644165,4.2771298467414454e-05,0.05379205197095871,5.562611365929623,1.0
59,0.0016940017230808735,-6.673127174377441,-5.801893711090088,-2.9879231452941895,-12.808603286743164,0.05491523817181587,0.5754778981208801,0.5205626487731934,8.6270272731781e-05,0.05379205197095871,5.914544878861838,1.0
60,0.0018754518823698163,-6.679714202880859,-6.001819610595703,-2.983159065246582,-12.972749710083008,0.05476769059896469,0.5760337114334106,0.5212660431861877,0.0001071608712663874,0.05379205197095871,6.430624815133896,1.0
61,0.0021737494971603155,-6.685378551483154,-5.922135353088379,-2.975588083267212,-12.910881042480469,0.05478572100400925,0.577250599861145,0.5224648714065552,0.00010461401689099148,0.05379205197095871,6.884836083803416,1.0
62,0.001254240283742547,-6.726058006286621,-5.5334577560424805,-2.9772424697875977,-12.64144515991211,0.054892197251319885,0.5741319060325623,0.5192397236824036,0.00011040767276426777,0.05379205197095871,7.069611469904576,1.0
63,0.0029268921352922916,-6.740604877471924,-6.079623222351074,-2.9593536853790283,-13.083980560302734,0.05463523790240288,0.5751594305038452,0.5205242037773132,9.634014713810757e-05,0.05388426408171654,7.696922256396361,1.0
64,0.004006535746157169,-6.73915958404541,-6.209821701049805,-3.023761749267578,-13.218897819519043,0.05541828274726868,0.5779587030410767,0.5225404500961304,7.679396367166191e-05,0.05388426408171654,8.459150302104455,1.0
65,0.004744823556393385,-6.735043525695801,-6.239156723022461,-2.7729129791259766,-13.112825393676758,0.05579541251063347,0.5821545124053955,0.5263590812683105,0.00017044652486220002,0.05388426408171654,9.115305921970263,1.0
66,0.007296082563698292,-6.671426773071289,-5.1250762939453125,3.3821029663085938,-9.080436706542969,0.05594772845506668,0.5779445171356201,0.521996796131134,0.0001838517637224868,0.05414074659347534,5.7390728547022825,1.0
67,0.009650344029068947,-6.592348098754883,-0.4345407485961914,8.365415573120117,-2.757272720336914,0.05596526339650154,0.5799890160560608,0.5240237712860107,0.00015855456877034158,0.05452073737978935,11.075630120742016,1.0
68,0.010425214655697346,-6.5540008544921875,0.5431299209594727,4.302983283996582,-3.9680051803588867,0.05629706010222435,0.5866607427597046,0.5303636789321899,0.0001328157086391002,0.05463523790240288,18.564294714194077,1.0
69,0.010930166579782963,-6.525324821472168,-1.1610946655273438,0.3984830379486084,-7.2549591064453125,0.056942470371723175,0.5934580564498901,0.5365155935287476,0.00015353577327914536,0.05463523790240288,22.766005381559715,1.0
70,0.014783497899770737,-6.310153961181641,-2.0072429180145264,-1.4109070301055908,-8.6214017868042,0.057557519525289536,0.6084146499633789,0.5508571267127991,0.00024164219212252647,0.05463523790240288,25.601273368566467,1.0
71,0.016841856762766838,-6.178464889526367,-2.082761764526367,-1.8609188795089722,-8.77513313293457,0.05840963125228882,0.6182463765144348,0.559836745262146,0.00030797760700806975,0.05463523790240288,28.282810009442848,1.0
72,0.017586126923561096,-6.127033233642578,-3.9206254482269287,-2.7009971141815186,-10.614031791687012,0.059710003435611725,0.6208553910255432,0.5611453652381897,0.0003908259968739003,0.05463523790240288,29.125447991566787,1.0
73,0.016416115686297417,-6.207411289215088,-4.976371765136719,-2.2482833862304688,-11.312650680541992,0.06092552840709686,0.6230172514915466,0.5620917081832886,0.000563862849958241,0.05463523790240288,29.269467084835746,1.0
74,0.015142902731895447,-6.28754997253418,-5.040276527404785,-2.4049530029296875,-11.522247314453125,0.06211582198739052,0.6228769421577454,0.5607610940933228,0.000611916184425354,0.05541828274726868,29.203889544193572,1.0
75,0.014592775143682957,-6.315831184387207,-5.094439506530762,-2.5632245540618896,-11.672994613647461,0.06348229199647903,0.6216379404067993,0.5581556558609009,0.0007022677455097437,0.05579541251063347,28.987564704357062,1.0
76,0.014219560660421848,-6.335555553436279,-5.191215991973877,-2.505751132965088,-11.741403579711914,0.06499210745096207,0.6189929842948914,0.5540008544921875,0.000837173720356077,0.05594772845506668,28.7028308984561,1.0
77,0.013019836507737637,-6.402285575866699,-5.192182540893555,-2.294374704360962,-11.703219413757324,0.06588874757289886,0.6115401387214661,0.545651376247406,0.0010029827244579792,0.05596526339650154,28.456281258509726,1.0
78,0.012154887430369854,-6.427197456359863,-5.0995025634765625,-2.003628730773926,-11.508613586425781,0.06756237894296646,0.6051075458526611,0.5375451445579529,0.0010657430393621325,0.05629706010222435,28.404337445894896,1.0
79,0.011727510951459408,-6.433204650878906,-5.3140153884887695,-1.8183574676513672,-11.593596458435059,0.06947330385446548,0.599333643913269,0.5298603177070618,0.001179989892989397,0.056942470371723175,28.26741076127079,1.0
80,0.011593298986554146,-6.44554328918457,-5.440485000610352,-1.8503293991088867,-11.72309684753418,0.07139164209365845,0.5903977155685425,0.519006073474884,0.0013239760883152485,0.057557519525289536,28.00098368754756,1.0
81,0.011844229884445667,-6.444906234741211,-5.457746505737305,-1.8766741752624512,-11.749441146850586,0.07384271174669266,0.5819171667098999,0.5080744624137878,0.0014424456749111414,0.05840963125228882,27.708212314507925,1.0
82,0.012156209908425808,-6.437547206878662,-5.561567783355713,-1.9848780632019043,-11.879240989685059,0.07601076364517212,0.5734553933143616,0.49744462966918945,0.0015703008975833654,0.059710003435611725,27.285641098633818,1.0
83,0.012679185718297958,-6.416121482849121,-5.670413017272949,-2.243093490600586,-12.07399845123291,0.07857789099216461,0.567588746547699,0.48901087045669556,0.0016761372098699212,0.06092552840709686,26.66831242121186,1.0
84,0.0134737528860569,-6.387212753295898,-5.725980281829834,-2.3807644844055176,-12.158378601074219,0.08082079142332077,0.5652886629104614,0.48446786403656006,0.00182911881711334,0.06211582198739052,25.96660359394859,1.0
85,0.014023042283952236,-6.358924865722656,-5.869509696960449,-2.594038486480713,-12.35155200958252,0.08322592824697495,0.5661106705665588,0.4828847348690033,0.0019265000009909272,0.06348229199647903,25.071721358177022,1.0
