dataset,run_name,status,n_windows,cvar95_pos_l2,cvar95_pos_nll,cvar95_combined,cvar95_cusum,mean_pos_l2,mean_combined_nll,max_combined_nll,mean_obj_dist_residual,cvar95_obj_dist_residual,min_obj_dist_residual,mean_obj_dist_slope,cvar95_obj_dist_slope,min_obj_dist_slope,mean_obj_dist_past_min,cvar95_obj_dist_past_min,min_obj_dist_past_min,mean_obj_dist_actual,cvar95_obj_dist_actual,min_obj_dist_actual,mean_obj_dist_pred,cvar95_obj_dist_pred,min_obj_dist_pred,frac_adjacent_lane
obs_recovery,goal_007_obs_recovery_t1_20260609_190807,mrm_mrm_succeeded,334,0.024227603722144577,-4.920682780882892,-6.835591021706076,105.53001658263116,0.0076441381132393285,-12.634704934622713,-1.833658218383789,0.23349905522640593,0.6925098475287942,0.03136241436004639,0.0023653523813135656,0.08861597189131905,-0.10518855601549149,0.7608734122784195,1.0,0.053303010761737823,0.8340443789423583,1.0,0.053303010761737823,0.8306358115758724,0.9664599755231071,0.6053866744041443,0.8353293413173652
obs_recovery,goal_007_obs_recovery_t2_20260609_193646,goal_reached,1622,0.041820453343594945,-2.511084701956772,-6.895362128571766,406.7386750254874,0.009582559404960094,-12.39290303315246,1.5158336162567139,0.17910021776850216,0.6307871872332038,0.015566051006317139,-1.956157041668379e-06,0.03942415564570848,-0.10331760346889496,0.9017188920284611,1.0,0.06515077501535416,0.9206122784805283,1.0,0.06515077501535416,0.8564426572269929,0.964120007142788,0.5705649256706238,0.6368680641183724
obs_recovery,goal_007_obs_recovery_t3_20260609_200404,goal_reached,1536,0.04066425225661172,-2.180427063595165,-3.7935322708897776,708.8197503962278,0.009518363053795534,-12.225228525620574,5.03043794631958,0.22424503406121707,0.7991354720933097,0.017099440097808838,0.0004956621649189567,0.04166508993351614,-0.10529480874538422,0.8109637061570538,1.0,0.0468631274998188,0.8367879841631899,1.0,0.04779168218374252,0.8693689559586346,0.9647816535714385,0.5717082023620605,0.630859375
obs_recovery,goal_007_obs_recovery_t4_20260609_203515,goal_reached,1467,0.034735018991538,-3.2624085690524125,-6.94884336639095,359.49074397290394,0.009686301137478537,-12.373670464400622,-3.0347554683685303,0.21581567069179117,0.767842719683776,0.0007250308990478516,-1.358779609873421e-05,0.05539164666992587,-0.1049351766705513,0.8267649830697992,1.0,0.050949577242136,0.8695428237857344,1.0,0.05202876031398773,0.8736938241800648,0.9639612210763467,0.6116389036178589,0.6141785957736878
obs_recovery,goal_007_obs_recovery_t5_20260609_210023,goal_reached,1504,0.03647787008728636,-3.015830432113848,-7.001790965858259,381.8314007115254,0.008647446599689693,-12.407635596996926,-2.6498498916625977,0.1341818650946655,0.43745310251650055,0.017233610153198242,0.0005661268559708062,0.0005661268559708062,0.0,0.9829293916279331,1.0,0.14101064205169678,0.9891159182929612,1.0,0.16062363982200623,0.869074895185359,0.9651223946558801,0.5494511723518372,0.6223404255319149
obs_recovery,goal_007_obs_recovery_t6_20260609_212545,stuck,42,0.01796939844886462,-5.380005995432536,-10.699460665384928,1.0209910529000403,0.01110635421771024,-11.483765874590192,-10.613571166992188,0.5452270798739933,0.611481765906016,0.48865267634391785,0.0016670375979239388,0.0020878276942918697,0.0010307178599759936,0.08524919602842558,0.11812361081441243,0.05427378788590431,0.10204813913220451,0.13896825909614563,0.06674294173717499,0.647275216522671,0.6847463846206665,0.626004695892334,1.0
obs_recovery,goal_011_obs_recovery_t1_20260609_191931,goal_reached,1155,0.043475217539174806,-1.3539564897274148,-5.6112965304276035,445.1275509613477,0.009404816325790212,-12.41125568662371,0.4127609133720398,0.13777684324231498,0.5837783762093248,0.015573859214782715,-1.5058258253056959e-05,0.000785117397328837,-0.1019577756524086,0.9514512958722713,1.0,0.08238005638122559,0.95843978236506,1.0,0.08238005638122559,0.8769804604125745,0.9751268563599422,0.549385666847229,0.6354978354978355
obs_recovery,goal_011_obs_recovery_t2_20260609_194618,goal_reached,1261,0.046211668639443815,-1.6586868949234486,-6.275481790304184,357.0667394506587,0.011097565881649122,-12.303384577443351,3.976266384124756,0.19700977239317596,0.700635764747858,0.033364713191986084,0.0008379670278641246,0.0488589538326778,-0.10254981368780136,0.865736800997055,1.0,0.058571457862854004,0.8908673315755816,1.0,0.07318411022424698,0.8726733930993893,0.9623578228056431,0.5685776472091675,0.6320380650277557
obs_recovery,goal_011_obs_recovery_t3_20260609_201318,goal_reached,1363,0.06271843730971433,7.1344331658404805,2.4165464147277502,1143.9505389000985,0.015531974991434851,-10.927472974785267,9.891682624816895,0.3096338309353096,0.8037838685339775,0.018602609634399414,-5.0993480915073224e-05,0.03706367534544805,-0.10685263574123383,0.7165398554724757,1.0,0.03832627460360527,0.7362619814622166,1.0,0.03832627460360527,0.8395970852516718,0.9733195123465165,0.5663008093833923,0.6749816581071166
obs_recovery,goal_011_obs_recovery_t4_20260609_204406,mrm_mrm_succeeded,181,0.011784763168543577,-6.049954509735107,-11.192263126373291,15.517088946980001,0.005170804377997716,-12.945027493640204,-10.803601264953613,0.24966554681240524,0.5845651507377625,0.0554502010345459,0.004885858866432425,0.06826611524447798,0.0,0.7106850085296355,1.0,0.05693269893527031,0.7594728636148885,1.0,0.06984651833772659,0.8332659243220124,0.9432314276695252,0.6521174311637878,0.7624309392265194
