campaign,n_trials,detection_rate,mean_lead_time_s,median_lead_time_s,n_with_fatal_moment
imu_fault_s1,2.0,0.5,37.93105001220911,37.93105001220911,1.0
imu_fault_s3,2.0,0.5,63.40487542437036,63.40487542437036,1.0
imu_fault_scale,2.0,0.5,51.41945780753784,51.41945780753784,1.0
imu_fault_stuck,2.0,0.5,49.13283080677563,49.13283080677563,1.0
tl_fault_ramp,3.0,0.3333333333333333,,,0.0
tl_fault_s2,3.0,1.0,,,0.0
tl_fault_s3,3.0,0.0,,,0.0
tl_fault_s4,3.0,0.3333333333333333,,,0.0
