window,pos_l2,pos_nll,vel_nll,steer_nll,combined_nll,obj_dist_actual,obj_dist_pred,obj_dist_residual,obj_dist_slope,obj_dist_past_min,cusum_combined,has_adjacent_lane
0,0.012458663433790207,-6.249358177185059,-4.993181228637695,-1.2990089654922485,-10.893407821655273,1.0,0.6810434460639954,0.31895655393600464,0.0,1.0,0.0,1.0
1,0.012102525681257248,-6.260345458984375,-5.029696464538574,-1.3317009210586548,-10.94995403289795,1.0,0.6845901608467102,0.3154098391532898,0.0,1.0,0.9613016537257604,1.0
2,0.011898437514901161,-6.268734931945801,-5.006094932556152,-1.3659836053848267,-10.956603050231934,1.0,0.6877202987670898,0.31227970123291016,0.0,1.0,1.9159542901175364,1.0
3,0.011623062193393707,-6.2775187492370605,-5.055562973022461,-1.3981181383132935,-11.021028518676758,1.0,0.6909084916114807,0.3090915083885193,0.0,1.0,2.806181458064488,1.0
4,0.011366180144250393,-6.286945819854736,-5.076708793640137,-1.4393080472946167,-11.06796646118164,1.0,0.6937971115112305,0.30620288848876953,0.0,1.0,3.649470683506557,1.0
5,0.010969158262014389,-6.298194885253906,-5.105368614196777,-1.4556248188018799,-11.110302925109863,1.0,0.6967156529426575,0.30328434705734253,0.0,1.0,4.450423445020403,1.0
6,0.010540183633565903,-6.306637763977051,-5.1228790283203125,-1.5310572385787964,-11.170470237731934,1.0,0.697962760925293,0.30203723907470703,0.0,1.0,5.191208893912179,1.0
7,0.010162126272916794,-6.318850994110107,-4.772624969482422,-1.5613316297531128,-10.917616844177246,1.0,0.6999223232269287,0.3000776767730713,0.0,1.0,6.184847736358643,1.0
8,0.009899729862809181,-6.325546741485596,-5.104128837585449,-1.5008882284164429,-11.159294128417969,1.0,0.7026000618934631,0.29739993810653687,0.0,1.0,6.936809294564384,1.0
9,0.0094789769500494,-6.336260795593262,-5.3697357177734375,-1.4828170537948608,-11.373457908630371,1.0,0.7075337171554565,0.29246628284454346,0.0,1.0,7.474607072557722,1.0
10,0.008358039893209934,-6.38024377822876,-5.394898414611816,-1.508245825767517,-11.450285911560059,1.0,0.7149263620376587,0.2850736379623413,0.0,1.0,7.935576847621373,1.0
11,0.006938475649803877,-6.424181938171387,-5.427606105804443,-1.5511372089385986,-11.54183578491211,1.0,0.7217679619789124,0.27823203802108765,0.0,1.0,8.304996749332973,1.0
12,0.005748176481574774,-6.457051753997803,-5.464804649353027,-1.5714558362960815,-11.614623069763184,1.0,0.7274428606033325,0.2725571393966675,0.0,1.0,8.6016293661935,1.0
13,0.004761142190545797,-6.486170291900635,-5.4229044914245605,-1.5940799713134766,-11.621533393859863,1.0,0.7324500679969788,0.26754993200302124,0.0,1.0,8.891351658957346,1.0
14,0.00422495324164629,-6.4936933517456055,-5.489600658416748,-1.7471624612808228,-11.758955001831055,1.0,0.7351605892181396,0.26483941078186035,0.0,1.0,9.04365234375,1.0
15,0.004178464878350496,-6.51212215423584,-5.536381244659424,-1.8565788269042969,-11.869516372680664,1.0,0.7356653809547424,0.26433461904525757,0.0,1.0,9.085391657693046,1.0
16,0.005155858583748341,-6.513689041137695,-5.599813461303711,-1.8315389156341553,-11.909309387207031,1.0,0.7364278435707092,0.26357215642929077,0.0,1.0,9.087337957109725,1.0
17,0.0059554846957325935,-6.512301445007324,-5.259695529937744,-1.778768539428711,-11.609442710876465,1.0,0.7365172505378723,0.2634827494621277,0.0,1.0,9.38915093285697,1.0
18,0.006352425552904606,-6.513810157775879,-5.123211860656738,-1.7473241090774536,-11.486041069030762,1.0,0.7345990538597107,0.2654009461402893,0.0,1.0,9.814365550449917,1.0
19,0.006509407423436642,-6.516109466552734,-5.230536937713623,-1.740652084350586,-11.5708646774292,1.0,0.7319952845573425,0.26800471544265747,0.0,1.0,10.154756559644428,1.0
20,0.0069769821129739285,-6.51662540435791,-5.2578935623168945,-1.7520525455474854,-11.598966598510742,1.0,0.728441596031189,0.27155840396881104,0.0,1.0,10.467045647757395,1.0
21,0.007192149292677641,-6.522186279296875,-5.368625640869141,-1.8509520292282104,-11.742563247680664,1.0,0.7233093976974487,0.27669060230255127,0.0,1.0,10.63573808670044,1.0
22,0.006998717784881592,-6.528447151184082,-5.662188529968262,-2.0523681640625,-12.084382057189941,1.0,0.7179158329963684,0.2820841670036316,0.0,1.0,10.462611716134209,1.0
23,0.0062094563618302345,-6.546097278594971,-5.639037132263184,-1.9911569356918335,-12.052906036376953,1.0,0.7128338813781738,0.28716611862182617,0.0,1.0,10.320961366380965,1.0
24,0.006035511381924152,-6.545798301696777,-5.492478370666504,-1.9145967960357666,-11.897079467773438,1.0,0.7067033648490906,0.2932966351509094,0.0,1.0,10.335137585231237,1.0
25,0.006078493781387806,-6.543767929077148,-5.5993733406066895,-1.9071109294891357,-11.976821899414062,1.0,0.7023652791976929,0.29763472080230713,0.0,1.0,10.269571372440884,1.0
26,0.006225588731467724,-6.543200969696045,-5.703256607055664,-1.9276119470596313,-12.069612503051758,1.0,0.6967352032661438,0.3032647967338562,0.0,1.0,10.111214556012836,1.0
27,0.006509833969175816,-6.540093421936035,-5.710333824157715,-2.0043888092041016,-12.110554695129395,1.0,0.6911547183990479,0.30884528160095215,0.0,1.0,9.911915547507151,1.0
28,0.006611214485019445,-6.53748083114624,-5.710986137390137,-2.0625863075256348,-12.13756275177002,1.0,0.6813135147094727,0.31868648529052734,0.0,1.0,9.685608482360841,1.0
29,0.006782331969588995,-6.533867835998535,-5.702374458312988,-2.118558645248413,-12.155047416687012,1.0,0.6751710176467896,0.32482898235321045,0.0,1.0,9.44181675229754,1.0
30,0.007020165212452412,-6.531280517578125,-5.690654754638672,-2.1913843154907227,-12.179496765136719,1.0,0.6698822975158691,0.33011770248413086,0.0,1.0,9.17357567378453,1.0
31,0.007114298641681671,-6.530743598937988,-5.666043281555176,-2.226642370223999,-12.176898956298828,1.0,0.6653960943222046,0.3346039056777954,0.0,1.0,8.907932404109411,1.0
32,0.00724534597247839,-6.52968692779541,-5.640491008758545,-2.2473771572113037,-12.16576862335205,1.0,0.6613656878471375,0.33863431215286255,0.0,1.0,8.65341946738107,1.0
33,0.007335273083299398,-6.529416084289551,-5.633433818817139,-2.2769007682800293,-12.174613952636719,1.0,0.6576188206672668,0.34238117933273315,0.0,1.0,8.390061201368061,1.0
34,0.007391780614852905,-6.532928466796875,-5.637533664703369,-2.387460470199585,-12.236685752868652,1.0,0.6537067294120789,0.34629327058792114,0.0,1.0,8.064631135123118,1.0
35,0.004959613550454378,-6.568750858306885,-5.719024658203125,-2.4788594245910645,-12.383399963378906,1.0,0.6463555693626404,0.3536444306373596,0.0,1.0,7.592486858367922,1.0
36,0.00429109763354063,-6.578950881958008,-5.7467169761657715,-2.540517807006836,-12.44658374786377,1.0,0.6373606324195862,0.3626393675804138,0.0,1.0,7.057158797127862,1.0
37,0.0037597466725856066,-6.581009864807129,-5.772590637207031,-2.573338747024536,-12.48575210571289,1.0,0.6295905113220215,0.3704094886779785,0.0,1.0,6.482662378038681,1.0
38,0.003263510065153241,-6.579591274261475,-5.783453941345215,-2.5741207599639893,-12.493414878845215,1.0,0.6230961084365845,0.3769038915634155,0.0,1.0,5.9005031858171755,1.0
39,0.0029064856935292482,-6.576938629150391,-5.796135902404785,-2.588616371154785,-12.508155822753906,1.0,0.6177523732185364,0.3822476267814636,0.0,1.0,5.303603049686979,1.0
40,0.0027154108975082636,-6.576885223388672,-5.808183670043945,-2.6237714290618896,-12.535318374633789,1.0,0.6134205460548401,0.3865794539451599,0.0,1.0,4.679540361676899,1.0
41,0.002837896114215255,-6.57041072845459,-5.812869071960449,-2.664539098739624,-12.55297565460205,1.0,0.6104555726051331,0.38954442739486694,0.0,1.0,4.037820393698558,1.0
42,0.002833213657140732,-6.568561553955078,-5.820064544677734,-2.7007129192352295,-12.574969291687012,1.0,0.6071743965148926,0.3928256034851074,0.0,1.0,3.374106788635256,1.0
43,0.0030728252604603767,-6.566561698913574,-5.83222770690918,-2.7838878631591797,-12.624287605285645,1.0,0.6027651429176331,0.39723485708236694,0.0,1.0,2.661074869973321,1.0
44,0.003403411014005542,-6.566920757293701,-5.8354291915893555,-2.8529393672943115,-12.661733627319336,1.0,0.5963911414146423,0.40360885858535767,0.0,1.0,1.9105969292776948,1.0
45,0.003648157464340329,-6.573446273803711,-5.8278398513793945,-2.8701179027557373,-12.6707763671875,1.0,0.5877186059951782,0.4122813940048218,0.0,1.0,1.1510762487139043,1.0
46,0.0038080993108451366,-6.579432010650635,-5.807169437408447,-2.8191072940826416,-12.634721755981445,1.0,0.5822954177856445,0.41770458221435547,0.0,1.0,0.42761017935616863,1.0
47,0.0036272164434194565,-6.5900068283081055,-5.804997444152832,-2.9276814460754395,-12.697845458984375,1.0,0.5781864523887634,0.4218135476112366,0.0,1.0,0.0,1.0
48,0.0035574028734117746,-6.598636627197266,-5.803003311157227,-2.93135666847229,-12.706717491149902,1.0,0.5747446417808533,0.42525535821914673,0.0,1.0,0.0,1.0
49,0.0036707469262182713,-6.596616744995117,-5.787548065185547,-2.9186060428619385,-12.685958862304688,1.0,0.5727482438087463,0.42725175619125366,0.0,1.0,0.0,1.0
50,0.003718990134075284,-6.596951484680176,-5.7741498947143555,-2.8753960132598877,-12.653969764709473,1.0,0.5714147686958313,0.4285852313041687,0.0,1.0,0.0,1.0
51,0.003436353988945484,-6.609333038330078,-5.777127265930176,-2.8820581436157227,-12.672063827514648,1.0,0.568393349647522,0.431606650352478,0.0,1.0,0.0,1.0
52,0.0028935761656612158,-6.629725456237793,-5.794731140136719,-2.8651039600372314,-12.698062896728516,1.0,0.5641359686851501,0.43586403131484985,0.0,1.0,0.0,1.0
53,0.002468629740178585,-6.647705078125,-5.8249406814575195,-2.852147102355957,-12.73373031616211,1.0,0.5600232481956482,0.4399767518043518,0.0,1.0,0.0,1.0
54,0.002419777913019061,-6.659925937652588,-5.85476016998291,-2.825726270675659,-12.756597518920898,1.0,0.557990312576294,0.44200968742370605,0.0,1.0,0.0,1.0
55,0.002676247386261821,-6.663866996765137,-5.865217208862305,-2.808086395263672,-12.76008415222168,1.0,0.5569836497306824,0.4430163502693176,0.0,1.0,0.0,1.0
56,0.003199732629582286,-6.657295227050781,-5.8530144691467285,-2.776508092880249,-12.727960586547852,1.0,0.5577775835990906,0.4422224164009094,0.0,1.0,0.0,1.0
57,0.003005988197401166,-6.664549827575684,-5.8052239418029785,-2.7538869380950928,-12.685672760009766,1.0,0.5550845861434937,0.44491541385650635,0.0,1.0,0.0,1.0
58,0.0032215456012636423,-6.673422813415527,-5.7144927978515625,-2.6980783939361572,-12.594056129455566,1.0,0.5545512437820435,0.44544875621795654,0.0,1.0,0.0,1.0
59,0.003204678650945425,-6.68098258972168,-5.898353576660156,-2.66994309425354,-12.734637260437012,1.0,0.5545868873596191,0.44541311264038086,0.0,1.0,0.0,1.0
