window,pos_l2,pos_nll,vel_nll,steer_nll,combined_nll,obj_dist_actual,obj_dist_pred,obj_dist_residual,obj_dist_slope,obj_dist_past_min,cusum_combined,has_adjacent_lane
0,0.009445881471037865,-6.249330043792725,-5.316643714904785,-1.1187427043914795,-11.062016487121582,1.0,0.6362587213516235,0.36374127864837646,0.0,1.0,0.0,1.0
1,0.009109478443861008,-6.262147426605225,-5.278290271759033,-1.1643059253692627,-11.066932678222656,1.0,0.6438337564468384,0.3561662435531616,0.0,1.0,0.8479867114850066,1.0
2,0.00899537280201912,-6.267280578613281,-5.237957000732422,-1.2092335224151611,-11.062263488769531,1.0,0.6525160074234009,0.3474839925765991,0.0,1.0,1.7006426124231382,1.0
3,0.009349947795271873,-6.263272285461426,-5.192857265472412,-1.2515077590942383,-11.043312072753906,1.0,0.6612975001335144,0.3387024998664856,0.0,1.0,2.572249929376895,1.0
4,0.009739895351231098,-6.257306098937988,-5.182957649230957,-1.2757518291473389,-11.041547775268555,1.0,0.6697156429290771,0.33028435707092285,0.0,1.0,3.445621543816003,1.0
5,0.010037016123533249,-6.254472732543945,-5.20281982421875,-1.3101760149002075,-11.071817398071289,1.0,0.6775712966918945,0.32242870330810547,0.0,1.0,4.288723535452377,1.0
6,0.009872767142951488,-6.2849225997924805,-5.204224586486816,-1.3322519063949585,-11.114428520202637,1.0,0.6890448927879333,0.31095510721206665,0.0,1.0,5.089214404957403,1.0
7,0.008926094509661198,-6.356222152709961,-5.245787143707275,-1.4286580085754395,-11.267181396484375,1.0,0.703965425491333,0.296034574508667,0.0,1.0,5.736952398180691,1.0
8,0.008973958902060986,-6.33942174911499,-5.303175926208496,-1.406192421913147,-11.285058975219727,1.0,0.7049914002418518,0.2950085997581482,0.0,1.0,6.366812812668627,1.0
9,0.008988949470221996,-6.334805965423584,-5.310367584228516,-1.4005309343338013,-11.283366203308105,1.0,0.7055884003639221,0.2944115996360779,0.0,1.0,6.998365999068184,1.0
10,0.008851286955177784,-6.353545188903809,-5.27749490737915,-1.4336919784545898,-11.292387008666992,1.0,0.7111203074455261,0.2888796925544739,0.0,1.0,7.620898380108855,1.0
11,0.00805606134235859,-6.385704040527344,-5.379134178161621,-1.4798568487167358,-11.428939819335938,1.0,0.7142753601074219,0.2857246398925781,0.0,1.0,8.10687795048058,1.0
12,0.007068392354995012,-6.411743640899658,-5.424038887023926,-1.506956934928894,-11.5044527053833,1.0,0.717978835105896,0.282021164894104,0.0,1.0,8.517344634804942,1.0
13,0.00618622126057744,-6.441487789154053,-5.458754539489746,-1.5371469259262085,-11.577065467834473,1.0,0.7224080562591553,0.2775919437408447,0.0,1.0,8.855198556678133,1.0
14,0.005248700268566608,-6.467634201049805,-5.465432167053223,-1.5509800910949707,-11.615469932556152,1.0,0.7267844080924988,0.2732155919075012,0.0,1.0,9.154648013829643,1.0
15,0.004794892854988575,-6.489171981811523,-5.423309326171875,-1.5671637058258057,-11.611401557922363,1.0,0.730875551700592,0.26912444829940796,0.0,1.0,9.458165845614943,1.0
16,0.004768733866512775,-6.487098693847656,-5.415772914886475,-1.595691442489624,-11.617563247680664,1.0,0.7318296432495117,0.2681703567504883,0.0,1.0,9.755521987641941,1.0
17,0.004351100884377956,-6.498934745788574,-5.466228485107422,-1.7299065589904785,-11.736870765686035,1.0,0.7338607311248779,0.26613926887512207,0.0,1.0,9.93357061166357,1.0
18,0.004517435561865568,-6.51097297668457,-5.572593688964844,-1.8061895370483398,-11.872142791748047,1.0,0.7337910532951355,0.2662089467048645,0.0,1.0,9.976347209623185,1.0
19,0.0052711148746311665,-6.5141143798828125,-5.551430702209473,-1.8599969148635864,-11.885257720947266,1.0,0.7333950400352478,0.2666049599647522,0.0,1.0,10.006008878383582,1.0
