dataset,run_name,status,n_rows,cvar95_combined_nll,mean_combined_nll,cvar95_tl_color_nll,cvar95_tl_confidence_nll,mean_tl_discrepancy,mean_tl_discrepancy_residual,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
nom_v11,goal_001_t1_20260721_181417,goal_reached,288,-14.214711634318034,-19.207983480559456,0.21985912919044495,0.4356207932035128,0.041666666666666664,0.04566438140818718,,False,0.0
nom_v11,goal_001_t2_20260721_182906,goal_reached,297,-13.99850934346517,-19.268484725695266,0.09716493686040242,1.0735648274421692,0.1111111111111111,0.0952806610900984,,False,1.5933048725128174
nom_v11,goal_002_t1_20260721_181529,goal_reached,927,-15.95079720273931,-20.462150714672628,0.6518853424077339,0.7147632379956702,0.021574973031283712,0.056030900088907556,,False,5.378521203994751
nom_v11,goal_002_t2_20260721_183014,goal_reached,716,-15.80693014462789,-19.44908689919797,1.7025399406750996,1.1223276183009148,0.02094972067039106,0.06006377244273852,,False,5.297712326049805
nom_v11,goal_003_t1_20260722_130356,goal_reached,1921,-15.639457948429069,-20.705773766620403,1.842657998665092,2.3036441944309116,0.07287870900572618,0.04564239212475216,,False,11.013384819030762
nom_v11,goal_003_t2_20260722_131247,goal_reached,1948,-15.285776605411451,-20.352090079681584,1.877524270695083,2.591280087524531,0.0662217659137577,0.03738822979597865,,False,17.616673469543457
nom_v11,goal_004_t1_20260722_115740,goal_reached,1400,-15.446174417223249,-20.211909670829773,2.368838325568608,2.1048366401876724,0.1357142857142857,0.07995301520653941,,False,2.800715446472168
nom_v11,goal_004_t2_20260722_121516,goal_reached,1358,-15.250468352261711,-20.127504317153008,1.9753647288855385,1.8392055823522455,0.04933726067746686,0.06595575265576015,,False,0.20575475692749023
nom_v11,goal_005_t1_20260722_130833,goal_reached,1839,-15.235350588093633,-20.075571204346765,1.6146227399940076,1.6912979386422946,0.027188689505165852,0.04624406793675765,,False,8.90785813331604
nom_v11,goal_005_t2_20260722_131715,goal_reached,2389,-15.222632217407227,-20.589630837518335,1.205302250633637,1.4864574251075586,0.03516115529510255,0.0403342064676966,,False,11.004380226135254
nom_v11,goal_006_t1_20260722_121104,goal_reached,1889,-15.745844519765754,-20.10236761669686,1.5168889792341935,1.5050035517466696,0.07093700370566437,0.041407949753182356,,False,2.885118246078491
