position_loss,velocity_loss,steering_loss,acceleration_loss,total_nll,object_distance_loss,traffic_light_loss,total_loss
-7.439323778632692,-5.857663571741722,-1.642134714585684,1.6865663052046225,-13.25255572758731,0.06249403131899433,0.1350337006499834,-13.05502805798503
-32.74036839446546,-26.54141461737802,-8.83155960011705,-4.84554126366648,-72.95888377869983,0.04030275946001397,0.12432225898047473,-72.79425867621401
-52.853736568462814,-43.3738485437316,-14.598569257979824,-7.8385759306102525,-118.66473025027837,0.030619924040830394,0.12149402861283204,-118.51261595253632
-70.19984503772771,-56.27036657363084,-18.39796711574091,-9.393319487943085,-154.26149866217023,0.02930480692059823,0.12015526827622054,-154.11203877576787
-85.75569145701756,-67.31297629050377,-22.07462358326184,-11.116053625802014,-186.25934408312645,0.028975179593000458,0.11903328295344505,-186.11133487499393
-100.72312016947619,-78.27556805001612,-26.25413148351176,-12.899016383281007,-218.15183578919027,0.028830874171630244,0.11781439157289879,-218.00519050764518
-116.12709197522695,-89.85946308266708,-31.057883895446206,-14.109538203087922,-251.15397805662542,0.02869843120028111,0.11672082840467911,-251.00855884967936
-132.19156615830656,-101.38463742265077,-36.30468906866056,-14.882361254588094,-284.76325309016624,0.028638902999391067,0.11580975838817911,-284.6188045513593
-145.9398587901273,-110.84634741667276,-40.648502789553824,-15.420922181316625,-312.85563046464296,0.028581242613796132,0.11505881917439517,-312.7119902138398
-155.04376101865205,-117.5219551870756,-43.27159677190573,-15.952980870398406,-331.79029470663573,0.028560478356304198,0.11417656001922126,-331.6475581944546
-160.89510523715865,-121.70583740424516,-44.658468573264244,-16.566474881870352,-343.8258852379344,0.028525333166865174,0.1131996843163098,-343.6841594185042
-163.72887931657357,-124.47100623300142,-45.55083584414093,-17.23290743486161,-350.9836284126448,0.02846569842963575,0.11192348708523396,-350.84323890186914
-165.85292024701556,-126.75351874330705,-46.22064520339728,-17.8968541986103,-356.72393855870325,0.02839364696328885,0.11034913388925179,-356.58519595137267
-167.0509750984168,-128.25455375029662,-46.64638011849186,-18.45595242746894,-360.4078624879831,0.028316761822529672,0.10872105975574423,-360.27082477700304
-167.6069149124288,-129.56069176219333,-47.20353521661966,-19.036355288971993,-363.4074959918346,0.028213859538655045,0.10700037332710076,-363.27228296582945
-169.31441528700594,-131.05746322108948,-47.72651776940652,-19.467015073306836,-367.5654118142767,0.028085910932761485,0.10553396395712256,-367.43179245232795
-169.67103590920706,-132.36851767661787,-48.17159138141763,-19.957745555033938,-370.1688915977597,0.027958305941378218,0.10408621060885373,-370.03684641044833
-170.36543918027314,-133.49484364637334,-48.765349272255584,-20.324655865583093,-372.9502884814301,0.02779879219644352,0.10299937698607133,-372.81949014158636
