window,position_pred_mean_0,position_pred_var_0,position_actual_0,position_pred_mean_1,position_pred_var_1,position_actual_1,position_residual_l2,position_nll,velocity_pred_mean_0,velocity_pred_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_var_1,velocity_actual_1,velocity_residual_l2,velocity_nll,steering_pred_mean,steering_pred_var,steering_actual,steering_residual,steering_nll,acceleration_pred_mean,acceleration_pred_var,acceleration_actual,acceleration_residual,acceleration_nll,traffic_light_state_pred_mean,traffic_light_state_pred_var,traffic_light_state_actual,traffic_light_state_residual,traffic_light_state_nll,traffic_light_detected_pred,traffic_light_detected_actual,traffic_light_detected_residual,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_state,cusum_tl_discrepancy,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,0.0010742456652224064,9.122567234953749e-08,0.0007936530746519566,0.0005991891957819462,8.948494922833561e-08,0.0004862570494879037,0.00030246630194596946,-13.878899574279785,0.07805019617080688,0.0003818285185843706,0.08115649968385696,0.4857839047908783,0.0001272590016014874,0.4851359724998474,0.0031731589697301388,-6.567750930786133,0.4943222999572754,0.0001965600240509957,0.4729090929031372,0.021413207054138184,-2.181957721710205,0.9572710990905762,0.0015481191221624613,1.0,0.04272890090942383,-1.7267485857009888,0.3274975121021271,0.0021551342215389013,0.33000001311302185,0.0025025010108947754,-2.149559497833252,0.20953939855098724,0.0,0.20953939855098724,0.003133584512397647,0.0,0.003133584512397647,1.0,1.0,-20.224079132080078,1784746063.5481799,2.9988558292388916,,0.0,0.0,0.0,,False,6.406429052352905
1,0.001123279333114624,8.760665792806321e-08,0.0008971268543973565,0.0006287053693085909,8.496658665535506e-08,0.0005501026171259582,0.00023942292318679392,-14.099571228027344,0.08253854513168335,0.00036863930290564895,0.0852370634675026,0.4877205789089203,0.00012593691644724458,0.4826502501964569,0.005743712652474642,-6.492888450622559,0.4961302578449249,0.00018550762615632266,0.47577619552612305,0.02035406231880188,-2.2606358528137207,0.9606723189353943,0.0014833648456260562,1.0,0.03932768106460571,-1.816445231437683,0.32573819160461426,0.002000464592128992,0.33000001311302185,0.004261821508407593,-2.1837098598480225,0.2431170493364334,0.0,0.2431170493364334,0.0036700950004160404,0.0,0.0036700950004160404,1.0,1.0,-20.4242000579834,1784746063.6434019,3.0940778255462646,,0.05211000990223269,0.43492085869247843,0.0,,False,6.406429052352905
2,0.0011651491513475776,8.470281187555884e-08,0.0009043889585882425,0.0006584762595593929,8.146515995122172e-08,0.0005530703347176313,0.0002812583988998085,-13.996155738830566,0.08669045567512512,0.0003568917454686016,0.0894688069820404,0.48927152156829834,0.00012560065079014748,0.4824563264846802,0.007359763607382774,-6.426649570465088,0.4974544048309326,0.00017791557183954865,0.48011505603790283,0.017339348793029785,-2.5532302856445312,0.9636268615722656,0.0014295498840510845,1.0,0.036373138427734375,-1.893524408340454,0.32427316904067993,0.0018783595878630877,0.33000001311302185,0.005726844072341919,-2.2110097408294678,0.2796570956707001,0.0,0.2796570956707001,0.004274722188711166,0.0,0.004274722188711166,1.0,1.0,-20.414091110229492,1784746063.7522984,3.202974319458008,,0.09411107205055913,0.8971415983664022,0.0,,False,6.406429052352905
3,0.0012018464040011168,8.231101134015262e-08,0.0009424875606782734,0.0006892075762152672,7.854527694917124e-08,0.0005777155165560544,0.00028230741736479104,-14.010554313659668,0.09083589911460876,0.0003466331399977207,0.09419848769903183,0.49076804518699646,0.000124993224744685,0.48752090334892273,0.004674497991800308,-6.580883026123047,0.4987069070339203,0.00017018007929436862,0.481442928314209,0.017263978719711304,-2.544713020324707,0.9666715860366821,0.0013761459849774837,1.0,0.03332841396331787,-1.9717108011245728,0.32283544540405273,0.0017725490033626556,0.33000001311302185,0.007164567708969116,-2.23425030708313,0.3223862051963806,0.0,0.3223862051963806,0.005059467628598213,0.0,0.005059467628598213,1.0,1.0,-20.547616958618164,1784746063.8469324,3.2976083755493164,,0.26963798258755745,1.382602904293988,0.0,,False,6.406429052352905
4,0.0012402546126395464,8.044958121899981e-08,0.0009818586986511946,0.0007177626248449087,7.627448184166497e-08,0.0006016664556227624,0.00028327861218713224,-14.021080017089844,0.09542158246040344,0.000337308447342366,0.09771379083395004,0.4926252067089081,0.000123417834402062,0.4898279309272766,0.0036164859775453806,-6.6198577880859375,0.500121533870697,0.00016044672520365566,0.48448446393013,0.015637069940567017,-2.687844753265381,0.9700140953063965,0.0013269291957840323,1.0,0.029985904693603516,-2.0546953678131104,0.3208945393562317,0.0016865343786776066,0.33000001311302185,0.009105473756790161,-2.249021053314209,0.38141047954559326,0.0,0.38141047954559326,0.0062623899430036545,0.0,0.0062623899430036545,1.0,1.0,-20.660888671875,1784746063.9410405,3.391716480255127,,0.5584366063813917,1.882834956452653,0.0,,False,6.406429052352905
5,0.001277388189919293,7.89114054100537e-08,0.0010993407340720296,0.0007499312050640583,7.44955812592707e-08,0.000671412271913141,0.0001945921831065789,-14.303611755371094,0.10048052668571472,0.00032825118978507817,0.10215681046247482,0.49439239501953125,0.00012255986803211272,0.49136239290237427,0.0034627793356776237,-6.634709358215332,0.5013808608055115,0.00015202153008431196,0.48693567514419556,0.014445185661315918,-2.7905101776123047,0.9731528759002686,0.001281320583075285,1.0,0.026847124099731445,-2.1297338008880615,0.318365216255188,0.0016183082479983568,0.33000001311302185,0.011634796857833862,-2.252424478530884,0.4536837637424469,0.0,0.4536837637424469,0.008013187907636166,0.0,0.008013187907636166,1.0,1.0,-21.006633758544922,1784746064.0566454,3.507321357727051,,1.1929803168451478,2.3864704338279927,0.0,,False,6.406429052352905
6,0.0013127857819199562,7.767127385704953e-08,0.0007100440561771393,0.0007820215541869402,7.30836617890418e-08,0.00043407914927229285,0.0006959608872421086,-11.396401405334473,0.10573700070381165,0.0003198017075192183,0.10677682608366013,0.496233195066452,0.00012189018161734566,0.49249911308288574,0.0038761585019528866,-6.633336067199707,0.5026181936264038,0.00014425798144657165,0.4886372685432434,0.0139809250831604,-2.825526475906372,0.9760648012161255,0.0012406613677740097,1.0,0.02393519878387451,-2.1962344646453857,0.315551221370697,0.0015669185668230057,0.33000001311302185,0.014448791742324829,-2.2437665462493896,0.5285243391990662,0.0,0.5285243391990662,0.010280913673341274,0.0,0.010280913673341274,1.0,1.0,-18.115833282470703,1784746064.1406598,3.5913357734680176,,1.2562567656104626,2.8814479789218383,0.0,,False,6.406429052352905
7,0.0013492695288732648,7.6334806919931e-08,0.0015021610306575894,0.0008109733462333679,7.166288895632533e-08,0.0009181132190860808,0.00018669430573936552,-14.348633766174316,0.11113402247428894,0.00031112675787881017,0.11227717250585556,0.49810948967933655,0.00012070178490830585,0.49444490671157837,0.0038387447129935026,-6.653141975402832,0.5037533640861511,0.0001364956988254562,0.4918544888496399,0.01189887523651123,-3.0120339393615723,0.9785149097442627,0.0012083908077329397,1.0,0.021485090255737305,-2.2492926120758057,0.31273287534713745,0.0015352364862337708,0.33000001311302185,0.0172671377658844,-2.2234930992126465,0.6043475270271301,0.0,0.6043475270271301,0.013217378407716751,0.0,0.013217378407716751,1.0,1.0,-21.17716407775879,1784746064.2581077,3.7087836265563965,,0.8050740296776233,3.356152076978941,0.0,,False,6.406429052352905
8,0.0013833026168867946,7.525682121922728e-08,0.0011806299444288015,0.000847293296828866,7.052364736637173e-08,0.0007213868084363639,0.00023859726206865162,-14.211663246154785,0.11647120118141174,0.0003032539098057896,0.11785531044006348,0.4996696710586548,0.00012126764340791851,0.49580711126327515,0.004103063140064478,-6.656675338745117,0.5046987533569336,0.00013179072993807495,0.49369552731513977,0.011003226041793823,-3.088878870010376,0.9806605577468872,0.0011805614922195673,1.0,0.019339442253112793,-2.293538808822632,0.31058913469314575,0.0015153426211327314,0.33000001311302185,0.0194108784198761,-2.20279598236084,0.6688403487205505,0.0,0.6688403487205505,0.016531571745872498,0.0,0.016531571745872498,1.0,1.0,-21.08144187927246,1784746064.3633215,3.813997507095337,,1.5144258608689185,3.8101590581842366,0.0,,False,6.406429052352905
9,0.001419002190232277,7.407684421423255e-08,0.001225017011165619,0.0008859487716108561,6.921754902577959e-08,0.0007487142574973404,0.000237620624830015,-14.224170684814453,0.12192550301551819,0.0002951302449218929,0.1220787763595581,0.5011659860610962,0.00012226255785208195,0.49583518505096436,0.005333004053682089,-6.614584922790527,0.5055374503135681,0.0001283045276068151,0.4951968193054199,0.010340631008148193,-3.1449148654937744,0.9825966358184814,0.0011566698085516691,1.0,0.017403364181518555,-2.33124041557312,0.3090245723724365,0.0015038341516628861,0.33000001311302185,0.020975440740585327,-2.184647798538208,0.7262773513793945,0.0,0.7262773513793945,0.020476456731557846,0.0,0.020476456731557846,1.0,1.0,-21.08829689025879,1784746064.4586256,3.909301519393921,,2.230632703046542,4.246017855566901,0.0,,False,6.406429052352905
