window,position_pred_mean_0,position_pred_var_0,position_actual_0,position_pred_mean_1,position_pred_var_1,position_actual_1,position_residual_l2,position_nll,velocity_pred_mean_0,velocity_pred_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_var_1,velocity_actual_1,velocity_residual_l2,velocity_nll,steering_pred_mean,steering_pred_var,steering_actual,steering_residual,steering_nll,acceleration_pred_mean,acceleration_pred_var,acceleration_actual,acceleration_residual,acceleration_nll,traffic_light_state_pred_mean,traffic_light_state_pred_var,traffic_light_state_actual,traffic_light_state_residual,traffic_light_state_nll,traffic_light_detected_pred,traffic_light_detected_actual,traffic_light_detected_residual,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_state,cusum_tl_discrepancy,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,0.0007422820781357586,2.0433709835288028e-07,0.0008192087989300489,0.000706113176420331,1.8658653289094218e-07,0.0005090025952085853,0.00021158992603886873,-13.492461204528809,0.09482385218143463,0.0005844947881996632,0.0918048545718193,0.4808369278907776,0.00027350016171112657,0.4703781008720398,0.010885834693908691,-5.778835296630859,0.47891324758529663,0.0003159491461701691,0.46096593141555786,0.01794731616973877,-2.6012821197509766,0.9650307893753052,0.0039190142415463924,1.0,0.034969210624694824,-1.6960045099258423,0.3518062233924866,0.0029127371963113546,0.33000001311302185,0.02180621027946472,-1.9187663793563843,0.5344918370246887,0.0,0.5344918370246887,0.019314032047986984,0.0,0.019314032047986984,0.007323797792196274,0.007323797792196274,1.0,2.0,-19.41617202758789,1784736671.983328,2.9998810291290283,,0.0,0.0,0.0,,False,2.2036800384521484
1,0.0007828217931091785,1.943324008379932e-07,0.0010089419083669782,0.0007350966334342957,1.7730998536080733e-07,0.0006259168731048703,0.00025109865237027407,-13.496485710144043,0.09991288185119629,0.0005673373816534877,0.09609490633010864,0.484039306640625,0.0002613468386698514,0.4735187888145447,0.011191882193088531,-5.799633979797363,0.4811474084854126,0.0002936878881882876,0.4644991159439087,0.016648292541503906,-2.6756865978240967,0.967430830001831,0.0037692536134272814,1.0,0.032569169998168945,-1.7307896614074707,0.3497766852378845,0.0028293582145124674,0.33000001311302185,0.01977667212486267,-1.9457964897155762,0.5506460070610046,0.0,0.5506460070610046,0.01992974802851677,0.0,0.01992974802851677,0.0076204994693398476,0.0076204994693398476,1.0,2.0,-19.474035263061523,1784736672.0886126,3.105165481567383,,0.27551566687653306,0.13389084011831232,0.0,,False,2.2036800384521484
2,0.0008291240083053708,1.832688383274217e-07,0.0010970173170790076,0.0007640162948518991,1.6711040018435597e-07,0.0006793213542550802,0.00028096273308619857,-13.503325462341309,0.10600989311933517,0.0005478835664689541,0.10118722170591354,0.4881713092327118,0.0002468677703291178,0.47840940952301025,0.010888197459280491,-5.855942726135254,0.48395639657974243,0.00026886683190241456,0.46833497285842896,0.015621423721313477,-2.737898588180542,0.9703240394592285,0.003600307973101735,1.0,0.029675960540771484,-1.772125482559204,0.3462454676628113,0.0027436160016804934,0.33000001311302185,0.01624545454978943,-1.9822044372558594,0.5661137104034424,0.0,0.5661137104034424,0.020612530410289764,0.0,0.020612530410289764,0.00795249454677105,0.00795249454677105,1.0,2.0,-19.557029724121094,1784736672.193064,3.2096168994903564,,0.6340257948126364,0.30418962777690783,0.0,,False,2.2036800384521484
3,0.0008827106794342399,1.7596633483663027e-07,0.0009321519755758345,0.0007964714895933867,1.6062014651652134e-07,0.0005750723066739738,0.00022685245494358242,-13.601186752319336,0.11176029592752457,0.0005336916074156761,0.10502549260854721,0.49185460805892944,0.00023671342933084816,0.4803438186645508,0.013336260803043842,-5.7819342613220215,0.48643094301223755,0.00025183369871228933,0.4730134904384613,0.013417452573776245,-2.866997718811035,0.9720848798751831,0.0034689016174525023,1.0,0.027915120124816895,-1.800700068473816,0.3451712131500244,0.0027273339219391346,0.33000001311302185,0.015171200037002563,-1.9910809993743896,0.5815396904945374,0.0,0.5815396904945374,0.020939558744430542,0.0,0.020939558744430542,0.008112598210573196,0.008112598210573196,1.0,2.0,-19.660232543945312,1784736672.2789233,3.295476198196411,,1.0957387425729586,0.4833649775540336,0.0,,False,2.2036800384521484
4,0.0009412973886355758,1.6974821903659176e-07,0.0011801592772826552,0.0008314622100442648,1.5508305750699947e-07,0.0007259160047397017,0.00026114171487279236,-13.592275619506836,0.11791159212589264,0.0005210972740314901,0.11053010821342468,0.4955803155899048,0.0002283970534335822,0.4832901954650879,0.014336434192955494,-5.751173973083496,0.48888325691223145,0.00023722861078567803,0.47680309414863586,0.012080162763595581,-2.9467310905456543,0.9733366966247559,0.0033591820392757654,1.0,0.02666330337524414,-1.8232711553573608,0.34503185749053955,0.002731092507019639,0.33000001311302185,0.0150318443775177,-1.9912210702896118,0.5976370573043823,0.0,0.5976370573043823,0.021150903776288033,0.0,0.021150903776288033,0.00821643602102995,0.00821643602102995,1.0,2.0,-19.666580200195312,1784736672.3851278,3.4016807079315186,,1.5637993465832807,0.6626803982463816,0.0,,False,2.2036800384521484
5,0.0010158534860238433,1.6365912358651258e-07,0.0010083289816975594,0.0008715363219380379,1.4963322314542893e-07,0.0006195124005898833,0.0002521362039260566,-13.619989395141602,0.12522417306900024,0.0005086667952127755,0.11453438550233841,0.49933135509490967,0.00022032784181647003,0.4850848317146301,0.017811091616749763,-5.591259956359863,0.491232693195343,0.0002228406519861892,0.4799678921699524,0.011264801025390625,-3.0008652210235596,0.9748847484588623,0.003257744712755084,1.0,0.025115251541137695,-1.8476098775863647,0.34469929337501526,0.0027450837660580873,0.33000001311302185,0.014699280261993408,-1.9906774759292603,0.6141063570976257,0.0,0.6141063570976257,0.021296199411153793,0.0,0.021296199411153793,0.008287987671792507,0.008287987671792507,1.0,2.0,-19.59343147277832,1784736672.4797869,3.496339797973633,,1.9587112231766106,0.841452224578378,0.0,,False,2.2036800384521484
6,0.0010725416941568255,1.5989677137895342e-07,0.0013221019180491567,0.0008997891563922167,1.461219767406874e-07,0.0008113574585877359,0.0002647649380378425,-13.634392738342285,0.13031211495399475,0.0005003248224966228,0.11953303962945938,0.5020691156387329,0.00021553115220740438,0.48704826831817627,0.018488220870494843,-5.543920516967773,0.4929758310317993,0.00021452138025779277,0.4842207133769989,0.008755117654800415,-3.1259536743164062,0.9762287139892578,0.0031971996650099754,1.0,0.023771286010742188,-1.865431308746338,0.344721257686615,0.0027788043953478336,0.33000001311302185,0.01472124457359314,-1.9849343299865723,0.6231323480606079,0.0,0.6231323480606079,0.021275915205478668,0.0,0.021275915205478668,0.00827799178659916,0.00827799178659916,1.0,2.0,-19.632505416870117,1784736672.5857365,3.6022894382476807,,2.3926970438617374,1.0144809049676864,0.0,,False,2.2036800384521484
7,0.0011490215547382832,1.5674945075261348e-07,0.0013186023570597172,0.0009319011587649584,1.4323858010811819e-07,0.0008091730996966362,0.00020933184714522213,-13.731500625610352,0.13676880300045013,0.0004924539243802428,0.12547145783901215,0.5047483444213867,0.00021155479771550745,0.4896775186061859,0.018835067749023438,-5.534294128417969,0.494559109210968,0.00020649629004765302,0.48732084035873413,0.007238268852233887,-3.196815013885498,0.9777078628540039,0.0031431694515049458,1.0,0.022292137145996094,-1.883272647857666,0.34501999616622925,0.0028209183365106583,0.33000001311302185,0.015019983053207397,-1.9764209985733032,0.6353139877319336,0.0,0.6353139877319336,0.0211911853402853,0.0,0.0211911853402853,0.00823625735938549,0.00823625735938549,1.0,2.0,-19.757343292236328,1784736672.6908815,3.7074344158172607,,2.951520739913075,1.1789962539437258,0.0,,False,2.2036800384521484
8,0.0011980391573160887,1.557123141537886e-07,0.0012096248101443052,0.0009524824563413858,1.422945388185326e-07,0.0007430940750055015,0.0002097086689900607,-13.727943420410156,0.14117176830768585,0.00048769082059152424,0.12980861961841583,0.5070028305053711,0.00021048414055258036,0.48945578932762146,0.020905017852783203,-5.344301700592041,0.4959407448768616,0.0002037547092186287,0.4912666082382202,0.004674136638641357,-3.276745557785034,0.9792414903640747,0.003115850267931819,1.0,0.020758509635925293,-1.8975390195846558,0.34594523906707764,0.002883359557017684,0.33000001311302185,0.015945225954055786,-1.9613720178604126,0.6382651925086975,0.0,0.6382651925086975,0.020737264305353165,0.0,0.020737264305353165,0.00801347941160202,0.00801347941160202,1.0,2.0,-19.64175796508789,1784736672.784857,3.801409959793091,,3.3947591088159754,1.3284626222068745,0.0,,False,2.2036800384521484
9,0.0012036490952596068,1.4839118023246556e-07,0.0014364782255142927,0.0009550026152282953,1.3416004662758496e-07,0.0008824885590001941,0.00024385999131482095,-13.733692169189453,0.14271122217178345,0.00047842648928053677,0.13579384982585907,0.5083249807357788,0.00019397436699364334,0.49120795726776123,0.0184619203209877,-5.45327615737915,0.4969429075717926,0.0001862893404904753,0.49427568912506104,0.0026672184467315674,-3.356071949005127,0.9816001653671265,0.0030375507194548845,1.0,0.018399834632873535,-1.9236853122711182,0.34522855281829834,0.0028443951159715652,0.33000001311302185,0.01522853970527649,-1.971497893333435,0.6265584826469421,0.0,0.6265584826469421,0.019615575671195984,0.0,0.019615575671195984,0.007468787021934986,0.007468787021934986,1.0,2.0,-19.774349212646484,1784736672.89068,3.9072329998016357,,3.9705887252774694,1.4880548659430457,0.0,,False,2.2036800384521484
