window,position_pred_mean_0,position_pred_var_0,position_actual_0,position_pred_mean_1,position_pred_var_1,position_actual_1,position_residual_l2,position_nll,position_llr,velocity_pred_mean_0,velocity_pred_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_var_1,velocity_actual_1,velocity_residual_l2,velocity_nll,velocity_llr,steering_pred_mean,steering_pred_var,steering_actual,steering_residual,steering_nll,steering_llr,acceleration_pred_mean,acceleration_pred_var,acceleration_actual,acceleration_residual,acceleration_nll,acceleration_llr,traffic_light_color_pred_mean,traffic_light_color_pred_var,traffic_light_color_actual,traffic_light_color_residual,traffic_light_color_nll,traffic_light_color_llr,traffic_light_confidence_pred_mean,traffic_light_confidence_pred_var,traffic_light_confidence_actual,traffic_light_confidence_residual,traffic_light_confidence_nll,traffic_light_confidence_llr,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,traffic_light_discrepancy_llr,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_color,cusum_tl_confidence,cusum_tl_discrepancy,sprt_position,sprt_velocity,sprt_steering,sprt_acceleration,sprt_tl_color,sprt_tl_confidence,sprt_tl_discrepancy,sprt_motion_combined,sprt_tl_combined,sprt_combined,p_fault_motion,p_fault_tl,p_fault_combined,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,-0.00012001499999314547,1.3240870089248347e-07,7.251001221675324e-08,4.081439692527056e-05,1.2880393285286118e-07,-2.757865047442465e-07,0.00012692286691162735,-13.952285766601562,-1.3405364751815796,-0.0007224977016448975,0.0004069312708452344,0.0,0.5001150369644165,9.698297071736306e-05,0.4999921917915344,0.0007328669307753444,-6.685324668884277,-1.385754942893982,0.45709750056266785,0.0008435574709437788,0.4738263189792633,0.01672881841659546,-2.4541258811950684,-0.5687395334243774,0.599470317363739,0.03670733794569969,0.6097412109375,0.010270893573760986,-0.7320138216018677,-0.6920694708824158,0.3551502227783203,0.004141849000006914,0.33000001311302185,0.025150209665298462,-1.7480090856552124,-0.6358780860900879,0.9389745593070984,0.012395708821713924,1.0,0.06102544069290161,-1.1260462999343872,-0.5804840326309204,0.0003925010096281767,0.0,0.0003925010096281767,0.0014489265158772469,0.0014489265158772469,0.09638813883066177,1.0,3.0,-20.527606964111328,1784743291.4340045,3.003434658050537,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09638813883066177,0.0,0.0,0.0,0.5,0.5,0.5,,False,10.51004409790039
1,-8.910428732633591e-05,1.1027849922129462e-07,2.072093820970622e-06,-3.529922105371952e-05,1.0107728343200506e-07,1.1256952348048799e-06,9.818302351050079e-05,-14.181686401367188,-1.3531033992767334,-0.00016765296459197998,0.00035232643131166697,0.0,0.4998970031738281,9.294766641687602e-05,0.5000200271606445,0.00020794810552615672,-6.779214859008789,-1.386203408241272,0.459494411945343,0.0008242226904258132,0.473812073469162,0.01431766152381897,-2.507239818572998,-0.5998795628547668,0.6856231689453125,0.01570429839193821,0.6967488527297974,0.011125683784484863,-1.1540310382843018,-0.6901914477348328,0.35553619265556335,0.0055790734477341175,0.33000001311302185,0.025536179542541504,-1.6169865131378174,-0.6493161916732788,0.9050511717796326,0.024022405967116356,1.0,0.09494882822036743,-0.7578024864196777,-0.5524148344993591,0.0003819683915935457,0.0,0.0003819683915935457,0.0014164855238050222,0.0014164855238050222,0.09642061591148376,1.0,3.0,-20.858678817749023,1784743291.5412607,3.1106908321380615,,0.642474374913828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19280875474214554,0.0,0.0,0.0,0.5,0.5,0.5,,False,10.51004409790039
2,-8.624512702226639e-05,1.031109349014514e-07,-2.617945710881031e-06,-4.320056177675724e-05,9.449741611433637e-08,-1.994232206925517e-06,9.322803816758096e-05,-14.250303268432617,-1.3541218042373657,-0.00021503865718841553,0.0003292775072623044,0.0,0.4986286163330078,8.721093036001548e-05,0.5000632405281067,0.0014506509760394692,-6.833148002624512,-1.3773918151855469,0.45968011021614075,0.000750242208596319,0.4737895429134369,0.014109432697296143,-2.5459444522857666,-0.5936412811279297,0.7135928869247437,0.012229133397340775,0.7168056964874268,0.0032128095626831055,-1.2826064825057983,-0.6928306818008423,0.35544711351394653,0.00547822518274188,0.33000001311302185,0.025447100400924683,-1.62544584274292,-0.6488202214241028,0.8991848826408386,0.024876069277524948,1.0,0.10081511735916138,-0.7236995697021484,-0.5399323105812073,0.00038824151852168143,0.0,0.00038824151852168143,0.0014358253683894873,0.0014358253683894873,0.09640134871006012,1.0,3.0,-20.98979377746582,1784743291.6555135,3.2249436378479004,,1.4160637095444528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28921010345220566,0.0,0.0,0.0,0.5,0.5,0.5,,False,10.51004409790039
3,-8.010165765881538e-05,9.918478127701746e-08,-9.949920240615029e-06,-3.337522502988577e-05,9.136878986737429e-08,-6.647239843005082e-06,7.507097325287759e-05,-14.300726890563965,-1.3647558689117432,0.0011376291513442993,0.00031911846599541605,0.0,0.4973973035812378,8.424395491601899e-05,0.5000759363174438,0.0029102014377713203,-6.833380699157715,-1.352834701538086,0.45897525548934937,0.0007146057323552668,0.4737897515296936,0.014814496040344238,-2.549391746520996,-0.5779774188995361,0.7242884635925293,0.011314356699585915,0.7269172668457031,0.002628803253173828,-1.3215974569320679,-0.6929181218147278,0.35479581356048584,0.005333728156983852,0.33000001311302185,0.02479580044746399,-1.6402777433395386,-0.6499200463294983,0.8923726081848145,0.024791302159428596,1.0,0.10762739181518555,-0.6960693597793579,-0.5179296135902405,0.00037298156530596316,0.0,0.00037298156530596316,0.0013886865926906466,0.0013886865926906466,0.09644854068756104,1.0,3.0,-21.04212760925293,1784743291.730768,3.3001980781555176,,2.241986875962187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3856586441397667,0.0,0.0,0.0,0.5,0.5,0.5,,False,10.51004409790039
4,-7.176387589424849e-05,9.592715599637813e-08,-5.289386535878293e-06,-2.1895160898566246e-05,8.870184586839969e-08,-3.7206536944722757e-06,6.89142252667807e-05,-14.3360595703125,-1.3676236867904663,0.0026590675115585327,0.00031165406107902527,0.0,0.4963315427303314,8.181845623767003e-05,0.5000402927398682,0.004563492722809315,-6.80903434753418,-1.3147438764572144,0.45822781324386597,0.0006868519703857601,0.4738086462020874,0.015580832958221436,-2.5460362434387207,-0.5606064200401306,0.7298613786697388,0.010762443765997887,0.7387357950210571,0.00887441635131836,-1.343248963356018,-0.6904031038284302,0.3526846468448639,0.005187691189348698,0.33000001311302185,0.02268463373184204,-1.662197232246399,-0.6559491157531738,0.8848209977149963,0.024642882868647575,1.0,0.11517900228500366,-0.6635259389877319,-0.49127039313316345,0.00035593064967542887,0.0,0.00035593064967542887,0.001335630309768021,0.001335630309768021,0.09650158137083054,1.0,3.0,-21.056304931640625,1784743291.8355174,3.404947519302368,,3.0820873647676166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48216022551059723,0.0,0.0,0.0,0.5,0.5,0.5,,False,10.51004409790039
5,-6.220291834324598e-05,9.31192118969193e-08,7.80295977165224e-07,-1.0284013114869595e-05,8.626138736644862e-08,7.176675467235327e-07,6.393685907823965e-05,-14.367755889892578,-1.369793176651001,0.004279524087905884,0.00030570244416594505,0.001105134142562747,0.4954492747783661,7.994021143531427e-05,0.4997203052043915,0.005321508273482323,-6.795110702514648,-1.2883614301681519,0.457806795835495,0.0006630535353906453,0.473888099193573,0.016081303358078003,-2.5453758239746094,-0.5468873381614685,0.734032154083252,0.010305562056601048,0.7473498582839966,0.013317704200744629,-1.3599920272827148,-0.6866933107376099,0.34996452927589417,0.005065911915153265,0.33000001311302185,0.019964516162872314,-1.6843323707580566,-0.6636424660682678,0.8777436017990112,0.024619759991765022,1.0,0.12225639820098877,-0.629615068435669,-0.4654851257801056,0.00034250773023813963,0.0,0.00034250773023813963,0.0012935621198266745,0.0012935621198266745,0.0965437963604927,1.0,3.0,-21.0765323638916,1784743291.9507875,3.5202176570892334,,3.9424152858240227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5787040218710899,0.0,0.0,0.0,0.5,0.5,0.5,,False,10.51004409790039
6,-5.257932934910059e-05,9.046178206517652e-08,1.505580439697951e-05,1.3136304914951324e-06,8.385602257021674e-08,9.827938811213244e-06,6.816894165240228e-05,-14.392658233642578,-1.3670070171356201,0.00589500367641449,0.00030029338086023927,0.0025806527119129896,0.4947046935558319,7.843256025807932e-05,0.49957287311553955,0.005889320746064186,-6.774763584136963,-1.2592666149139404,0.4576757550239563,0.0006422417354770005,0.47387292981147766,0.016197174787521362,-2.5520899295806885,-0.539963960647583,0.7377203702926636,0.009891781024634838,0.7523795962333679,0.014659225940704346,-1.3782248497009277,-0.6850005388259888,0.34682369232177734,0.00496200704947114,0.33000001311302185,0.016823679208755493,-1.705513596534729,-0.6717569231987,0.8710045218467712,0.024703430011868477,1.0,0.12899547815322876,-0.59467613697052,-0.4405531883239746,0.00033290754072368145,0.0,0.00033290754072368145,0.0012633042642846704,0.0012633042642846704,0.09657399356365204,1.0,3.0,-21.08851432800293,1784743292.0345116,3.6039416790008545,,4.814725170991757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675278015434742,0.0,0.0,0.0,0.5,0.5,0.5,,False,10.51004409790039
7,-4.3040141463279724e-05,8.790134842229236e-08,4.0473754779668525e-05,1.2995675206184387e-05,8.151506847298151e-08,2.639017293404322e-05,8.458121737930924e-05,-14.406113624572754,-1.3557144403457642,0.007428005337715149,0.00029513920890167356,0.004479346331208944,0.49402567744255066,7.739089051028714e-05,0.499356746673584,0.006092199124395847,-6.761130332946777,-1.2375357151031494,0.457695335149765,0.0006251385202631354,0.47375836968421936,0.016063034534454346,-2.5634591579437256,-0.538368821144104,0.7416612505912781,0.009485848248004913,0.7605187892913818,0.01885753870010376,-1.3912944793701172,-0.6790891289710999,0.3436230421066284,0.00488569401204586,0.33000001311302185,0.013623028993606567,-1.7227905988693237,-0.6789025068283081,0.8648859262466431,0.024951066821813583,1.0,0.13511407375335693,-0.5606485605239868,-0.41877299547195435,0.00032751591061241925,0.0,0.00032751591061241925,0.0012462467420846224,0.0012462467420846224,0.09659110009670258,1.0,3.0,-21.09674644470215,1784743292.1403117,3.7097418308258057,,5.69526717285871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7718691155314445,0.0,0.0,0.0,0.5,0.5,0.5,,False,10.51004409790039
8,-3.3259973861277103e-05,8.510541960049522e-08,5.470251198858023e-05,2.5241984985768795e-05,7.89529508438136e-08,3.6073633964406326e-05,8.862688264343888e-05,-14.432816505432129,-1.3516438007354736,0.008817404508590698,0.0002894907956942916,0.006795345339924097,0.49337461590766907,7.688617188250646e-05,0.49904975295066833,0.006024608388543129,-6.755899429321289,-1.2239124774932861,0.45783141255378723,0.0006100950995460153,0.4736584424972534,0.015827029943466187,-2.5767173767089844,-0.5391784310340881,0.7468308210372925,0.009006256237626076,0.7622119188308716,0.015381097793579102,-1.4228453636169434,-0.6832966208457947,0.34074920415878296,0.004850959870964289,0.33000001311302185,0.010749191045761108,-1.7334412336349487,-0.6842150688171387,0.8599872589111328,0.02546532079577446,1.0,0.1400127410888672,-0.5313732624053955,-0.4044668674468994,0.00032760927570052445,0.0,0.00032760927570052445,0.0012465424370020628,0.0012465424370020628,0.09659077227115631,1.0,3.0,-21.12589454650879,1784743292.2449892,3.8144192695617676,,6.6049572765323035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8684598878026009,0.0,0.0,0.0,0.5,0.5,0.5,,False,10.51004409790039
9,-2.263905480504036e-05,8.237145010525637e-08,6.584247603313997e-05,3.9321486838161945e-05,7.646944055750282e-08,4.340232408139855e-05,8.857558714225888e-05,-14.463692665100098,-1.3505709171295166,0.010147050023078918,0.00028443822520785034,0.008486945182085037,0.49264654517173767,7.744241156615317e-05,0.4986787438392639,0.006256466265767813,-6.737831115722656,-1.2064619064331055,0.45802006125450134,0.0006009238422848284,0.47364386916160583,0.015623807907104492,-2.5864760875701904,-0.540817141532898,0.7531951665878296,0.008545699529349804,0.7650734186172485,0.011878252029418945,-1.4539698362350464,-0.6869558095932007,0.3388965129852295,0.0049034650437533855,0.33000001311302185,0.008896499872207642,-1.7318975925445557,-0.6870942115783691,0.8566330671310425,0.026459647342562675,1.0,0.14336693286895752,-0.5087244510650635,-0.4018440246582031,0.0003350011829752475,0.0,0.0003350011829752475,0.0012699152575805783,0.0012699152575805783,0.09656739234924316,1.0,3.0,-21.14719581604004,1784743292.339414,3.908843994140625,,7.535948649737147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965027280151844,0.0,0.0,0.0,0.5,0.5,0.5,,False,10.51004409790039
