position_loss,velocity_loss,steering_loss,acceleration_loss,traffic_light_state_loss,total_nll,position_l2_raw,velocity_l1_raw,traffic_light_loss,traffic_light_discrepancy_loss,total_loss
-14.157224323875026,-10.796729220528352,-3.451059608573192,-2.9828564024808113,-1.1013783064327742,-32.489247821088426,0.16940698908609256,0.14939245508428206,0.11275829325119655,0.0828667304102789,-32.29362273801837
-8.801274712880453,-8.403908284505208,-2.4537065510164227,-3.2783864657084147,-1.3031169481444778,-24.24039286563271,0.05761831029596036,0.0662994619001422,0.10632815219854054,0.07554984144997179,-24.05851497315524
-5.279769725130316,-6.616767001570317,-1.701649324517501,-3.1853249014469616,-1.310911722977956,-18.094422564590186,0.02451329191395065,0.04543850195773861,0.10450616575646819,0.07318306850236758,-17.916733293366015
-3.8910537468759636,-5.855778019888359,-1.4407881828776576,-3.111919023279558,-1.2956465562184651,-15.595185494004635,0.018082607697630138,0.03781235082107678,0.10347403083976946,0.07150294438265918,-15.420208485921224
-3.366848854433026,-5.516090674149362,-1.349677172460054,-3.0165541138565333,-1.2718104525616294,-14.520981243200469,0.01586334631827317,0.03458704514461651,0.10264275471369426,0.06954985536765634,-14.348788642883301
-3.0383320967356364,-5.275394041496411,-1.28796339076862,-2.9424083090665047,-1.2511772674426698,-13.795275109274346,0.014509717891352218,0.0326271837087054,0.1015271953584855,0.06750970549489323,-13.626238207231488
-2.875718863805135,-5.1770736794722705,-1.2652952729609974,-2.8910877436922306,-1.2180935579433776,-13.427269102397718,0.014077436022068325,0.031602091120000474,0.10044374452871188,0.06582625807638753,-13.260999080591034
-2.743165493848031,-5.046487421738474,-1.2385299895939075,-2.8212698225389445,-1.1823333401429026,-13.031786025197883,0.013406119975996646,0.03069688946400818,0.09942154758854917,0.0644045604686988,-12.86795995277271
-2.6703528195096737,-4.988177975437098,-1.2041745968032302,-2.7722945991315338,-1.1514760586253383,-12.786476021482233,0.013105853094735689,0.030506384228928048,0.09823547693198187,0.0631846717967276,-12.625055875276264
-2.60545418889899,-4.849240177556088,-1.169066085731774,-2.722318300447966,-1.1256284134429797,-12.471707153320313,0.012835547141730786,0.02890999713879928,0.09684242525121622,0.06189067435630581,-12.312974066483347
-2.5480979199995075,-4.768928578025417,-1.139592685197529,-2.6731987108264055,-1.1058295264578701,-12.235647368849369,0.012599933330427136,0.028172514326216883,0.09534357495998082,0.06051553804100605,-12.079788274932326
-2.52452170723363,-4.709670406475402,-1.1133236981274788,-2.635974954303942,-1.082137356097238,-12.065628105297423,0.012526266142856657,0.02786776554166225,0.09314153432323222,0.059013291735920986,-11.91347326981394
-2.4711495867946693,-4.6339199793966195,-1.0854527163923833,-2.6022809840085213,-1.0659485034775316,-11.858751732006407,0.012121437254704928,0.027198569293607745,0.09102002327379427,0.05782948111494382,-11.709902238009269
-2.4286078729127585,-4.576149117319208,-1.0524470599074112,-2.566130955177441,-1.050175180560664,-11.673510129828202,0.012007894314694822,0.026616640460857172,0.08868868865987711,0.056312721431778186,-11.528508725082665
-2.4004120860183447,-4.478364307002018,-1.02696183125178,-2.5414809444494413,-1.0323006979206153,-11.479519837362725,0.011801868628122304,0.02583001154033761,0.08621050885371995,0.05462192938777438,-11.338687428256922
-2.3816543160823356,-4.437761794475087,-0.9983984997397974,-2.5113645528492174,-1.0232822884593094,-11.352461369832357,0.011758547416773804,0.025489176012444915,0.08311255218689902,0.05264829740973941,-11.216700537162914
-2.3356139091023227,-4.337552897971973,-0.9613574429562217,-2.485693906482897,-1.00707782214148,-11.127295982628539,0.011450582840724996,0.02465245485828634,0.0794996821305208,0.050257138175922526,-10.997539185641104
