position_loss,velocity_loss,steering_loss,acceleration_loss,traffic_light_color_loss,traffic_light_confidence_loss,total_nll,position_l2_raw,velocity_l1_raw,traffic_light_discrepancy_loss,total_loss
-1.8562003346160054,-3.40616899356246,-0.6563854853933057,-2.3722365722060204,-0.9153638522451123,-1.0035584497575958,-10.209913643697897,0.008832460986013757,0.0182576652005082,0.02349456195467307,-10.186419082184633
-1.852484146753947,-3.3644244292130074,-0.6507518182819089,-2.358658699939648,-0.9114244530598322,-1.0067620954165857,-10.144505629936853,0.008835934169231527,0.01798750944241571,0.02329060669338408,-10.121215025583902
-1.844356815951566,-3.3655542619526386,-0.6431771690646807,-2.3500155188764134,-0.9069627312322458,-1.0023190160281956,-10.112385501464209,0.008774449953004174,0.018019334769633133,0.02306428274217372,-10.089321233332157
-1.818665349856019,-3.3254127788046994,-0.6386190027308961,-2.3391347248107195,-0.9033411983400583,-0.9978436402355632,-10.02301667879025,0.00869447564764414,0.017746477586721692,0.023074409453935612,-9.999942262967428
-1.8138682863985498,-3.2892915848642588,-0.6282933770368496,-2.3261330615108213,-0.8999222170871993,-0.9973487053066492,-9.954857210318247,0.008616600425739307,0.017489781479525845,0.022679188046216343,-9.932178022960821
-1.7995747569948435,-3.2711855228990316,-0.6247755751634637,-2.310420817385117,-0.8943158543358246,-0.9940452861289183,-9.894317790865898,0.00859919929644093,0.017386746527336072,0.02255905831164758,-9.871758736670017
-1.794338590465486,-3.250007197881738,-0.6180412317626178,-2.3113944763317704,-0.88919628613318,-0.9900345634669065,-9.853012318412462,0.008540489279160587,0.01724697821434044,0.02245729595112304,-9.830555034180483
-1.784001296075682,-3.252352658038338,-0.6159602329134941,-2.2962059921895466,-0.8884345563128591,-0.9899419248104095,-9.826896637678146,0.008515368107813023,0.017272110298411764,0.022258017665687174,-9.804638601839542
-1.7469114307314157,-3.184754870211085,-0.6033232784053931,-2.2817216565211615,-0.8807868113120397,-0.9826005711220205,-9.680098595718542,0.008279023769622048,0.01673357800367133,0.022026705691435684,-9.658071905374527
-1.7329866339763005,-3.164869736880064,-0.5991901120481392,-2.269787793358167,-0.8771415472341081,-0.9814995521058639,-9.625475329657396,0.008270656876751067,0.016619441982281085,0.021773884572515573,-9.603701442480087
-1.7363962220648925,-3.1601058300584555,-0.5953385780254999,-2.257714048959315,-0.8727837684564292,-0.9793486775209507,-9.601687081158161,0.008311973680974916,0.016694560450559948,0.021643830790708307,-9.580043243865171
-1.7175676375627518,-3.131672120342652,-0.5901831778076788,-2.2500752614190183,-0.8740066895261407,-0.9752178643830121,-9.538722723722458,0.008213787058290714,0.016429549614258576,0.0215997906246533,-9.517122926811377
-1.7285086230064433,-3.1207205218573413,-0.58847307250835,-2.2505005399386087,-0.8682872576949497,-0.9746744888834655,-9.531164437532425,0.008284023614881638,0.016408758718171157,0.02129593391873641,-9.509868505100409
