fault_class,position_nll_delta,velocity_nll_delta,steering_nll_delta,acceleration_nll_delta,traffic_light_color_nll_delta,traffic_light_confidence_nll_delta,traffic_light_discrepancy_residual_delta
IMU,6,2,1,7,5,4,3
TL/camera,7,2,6,5,1,3,4
