campaign,goal_id,trial,n_windows,position_nll_delta,velocity_nll_delta,steering_nll_delta,acceleration_nll_delta,traffic_light_color_nll_delta,traffic_light_confidence_nll_delta,traffic_light_discrepancy_residual_delta
imu_fault_s1,goal_007,t1_20260728_204000,3,-0.24219507308924837,0.16068076500683737,0.1685206191746642,-0.07092859267595397,1.4059857721895619,2.700316170173893,0.9757755787627391
imu_fault_s1,goal_012,t1_20260728_204347,4,-0.06059740554840409,2.096877011659443,0.9460545805051157,0.14844627274804634,0.5529281056775238,1.223838177185045,-0.3053272594853879
imu_fault_s3,goal_007,t1_20260728_195042,2,-1.0984890414614736,3.329172893880026,4.083666549875473,-0.3368205207103552,-1.354045389973914,-7.939058426258072,1.8347957882762682
imu_fault_s3,goal_012,t1_20260728_195502,6,1.559091992804657,13.875815843738518,3.584940910980967,2.430508459793054,2.524126813898217,6.675986347005232,-0.18607641022643462
imu_fault_scale,goal_007,t1_20260728_200905,1,-11.898245482968566,-55.55772737143847,-17.773486802029836,-19.762788501949057,-5.934415555112404,-19.317078851692287,1.6148195666779712
imu_fault_scale,goal_012,t1_20260728_201253,1,-4.0754273391162865,-23.496541876760183,-571.9338923537446,-8.346697118704888,-0.9572706793847723,-3.5805602808835455,0.3585488179373109
imu_fault_stuck,goal_007,t1_20260728_202434,1,8.545706029132452,99.49557275218838,7680.9771806515655,2.5399783934889584,3.5043106040032987,17.29844216983769,5.757342757340466
imu_fault_stuck,goal_012,t1_20260728_202808,1,2.5887118533729745,181.6091159003315,1449.7405902556352,5.792550497331135,5.273833792855742,8.910196061082353,-0.009376634379512416
tl_fault_s2,goal_007,t1_20260728_205829,4,0.054215296414867775,0.42556168962325325,0.2656830062183587,0.06655997204385966,0.3700133756340689,2.4004048976001013,1.0075607600507865
tl_fault_s2,goal_012,t1_20260728_210210,6,0.5763944450699764,3.0646611827733428,0.6365612862670252,0.8913483620916665,9.838823673340398,1.021326659992674,0.4198954316040069
tl_fault_s2,goal_026,t1_20260728_210652,7,0.2330616178369581,0.5751904676250732,0.139231731816166,0.7660865245012993,1.8862937663577652,0.27313246514307155,0.2711329733612376
tl_fault_s3,goal_007,t1_20260728_211338,4,-0.3946141968388883,0.5234339717468974,0.6186982478352495,1.080081461771146,-0.4451241741856622,-0.7275533469293441,1.3100280760144025
tl_fault_s3,goal_012,t1_20260728_211902,9,-0.16078804567768912,1.2355030006691097,0.265288920881555,0.6399309477203208,0.6956204705988043,1.003887762254971,0.3994559562019834
tl_fault_s3,goal_026,t1_20260728_212548,13,-0.18908945483326095,1.0217189167697183,0.34269272204696544,0.11784105478532847,-0.09828685163516054,0.3877329476297867,1.8021884392214083
tl_fault_s4,goal_007,t1_20260728_213355,4,-0.14315810472086055,1.2141976202741243,0.7214636033617803,0.5828851524188039,-0.532586448849323,-0.8627280662879373,1.6296953203944171
tl_fault_s4,goal_012,t1_20260728_213807,9,-0.23006760675673055,1.4703623005254167,0.26218795049154664,0.7316068364271872,0.44262294005401137,0.6491127792491409,0.5885936486845355
tl_fault_s4,goal_026,t1_20260728_214355,11,0.006840243099809018,1.2386618225928578,0.06639003537392241,0.13051965522990805,0.08180068168159452,0.0910327274489629,0.8039027327459914
tl_fault_ramp,goal_007,t1_20260728_215204,7,0.6061221568045573,6.988390099955275,0.6864535130777951,0.7848018606675224,5.765721432706339,4.513048864196397,0.7760042271021966
tl_fault_ramp,goal_012,t1_20260728_215748,8,0.08621481947680909,0.7149765475754071,0.016250913412836576,0.293547072696297,1.2297283569778856,2.3103465509303396,0.31739272695679793
tl_fault_ramp,goal_026,t1_20260728_220313,11,0.21701684182669345,0.5947966385182643,-0.3143757526929908,0.06093877032130923,0.29610993386132234,0.6958754114698367,0.1250532421924836
